StateFIPS,State,Year,Value
1,Alabama,2019,86.0
2,Alaska,2019,39.3
4,Arizona,2019,44.2
5,Arkansas,2019,81.1
6,California,2019,31.0
8,Colorado,2019,40.1
9,Connecticut,2019,40.6
10,Delaware,2019,51.7
11,District of Columbia,2019,40.0
12,Florida,2019,45.5
13,Georgia,2019,58.1
15,Hawaii,2019,30.4
16,Idaho,2019,53.7
17,Illinois,2019,43.1
18,Indiana,2019,60.5
19,Iowa,2019,43.1
20,Kansas,2019,63.8
21,Kentucky,2019,72.4
22,Louisiana,2019,74.7
23,Maine,2019,44.3
24,Maryland,2019,42.4
25,Massachusetts,2019,35.5
26,Michigan,2019,58.1
27,Minnesota,2019,32.2
28,Mississippi,2019,67.1
29,Missouri,2019,58.4
30,Montana,2019,48.3
31,Nebraska,2019,50.4
32,Nevada,2019,49.5
33,New Hampshire,2019,38.2
34,New Jersey,2019,34.9
35,New Mexico,2019,43.5
36,New York,2019,34.9
37,North Carolina,2019,56.9
38,North Dakota,2019,38.8
39,Ohio,2019,51.0
40,Oklahoma,2019,66.4
41,Oregon,2019,49.2
42,Pennsylvania,2019,47.1
44,Rhode Island,2019,40.4
45,South Carolina,2019,60.6
46,South Dakota,2019,44.0
47,Tennessee,2019,74.7
48,Texas,2019,42.3
49,Utah,2019,51.7
50,Vermont,2019,36.9
51,Virginia,2019,40.9
53,Washington,2019,42.8
54,West Virginia,2019,59.6
55,Wisconsin,2019,42.6
56,Wyoming,2019,49.9
1,Alabama,2020,78.9
2,Alaska,2020,36.1
4,Arizona,2020,42.0
5,Arkansas,2020,76.4
6,California,2020,28.5
8,Colorado,2020,37.8
9,Connecticut,2020,37.0
10,Delaware,2020,45.2
11,District of Columbia,2020,34.7
12,Florida,2020,43.8
13,Georgia,2020,54.0
15,Hawaii,2020,26.5
16,Idaho,2020,49.6
17,Illinois,2020,39.6
18,Indiana,2020,56.7
19,Iowa,2020,39.9
20,Kansas,2020,59.4
21,Kentucky,2020,67.8
22,Louisiana,2020,68.3
23,Maine,2020,40.0
24,Maryland,2020,38.8
25,Massachusetts,2020,32.9
26,Michigan,2020,54.0
27,Minnesota,2020,30.0
28,Mississippi,2020,64.5
29,Missouri,2020,54.4
30,Montana,2020,45.9
31,Nebraska,2020,47.6
32,Nevada,2020,47.8
33,New Hampshire,2020,35.1
34,New Jersey,2020,30.5
35,New Mexico,2020,40.3
36,New York,2020,30.8
37,North Carolina,2020,53.8
38,North Dakota,2020,36.1
39,Ohio,2020,47.1
40,Oklahoma,2020,59.8
41,Oregon,2020,45.7
42,Pennsylvania,2020,42.5
44,Rhode Island,2020,35.3
45,South Carolina,2020,57.7
46,South Dakota,2020,40.2
47,Tennessee,2020,68.2
48,Texas,2020,38.2
49,Utah,2020,48.1
50,Vermont,2020,33.8
51,Virginia,2020,37.6
53,Washington,2020,39.5
54,West Virginia,2020,53.7
55,Wisconsin,2020,39.3
56,Wyoming,2020,47.2
1,Alabama,2021,77.2
2,Alaska,2021,34.7
4,Arizona,2021,40.3
5,Arkansas,2021,75.3
6,California,2021,27.6
8,Colorado,2021,36.7
9,Connecticut,2021,35.9
10,Delaware,2021,45.1
11,District of Columbia,2021,32.8
12,Florida,2021,42.7
13,Georgia,2021,52.8
15,Hawaii,2021,25.2
16,Idaho,2021,48.0
17,Illinois,2021,39.3
18,Indiana,2021,55.1
19,Iowa,2021,38.7
20,Kansas,2021,58.6
21,Kentucky,2021,65.7
22,Louisiana,2021,68.3
23,Maine,2021,38.1
24,Maryland,2021,37.9
25,Massachusetts,2021,32.6
26,Michigan,2021,53.3
27,Minnesota,2021,29.6
28,Mississippi,2021,65.1
29,Missouri,2021,52.9
30,Montana,2021,44.3
31,Nebraska,2021,46.7
32,Nevada,2021,45.2
33,New Hampshire,2021,33.7
34,New Jersey,2021,29.6
35,New Mexico,2021,38.6
36,New York,2021,30.1
37,North Carolina,2021,52.1
38,North Dakota,2021,36.7
39,Ohio,2021,45.8
40,Oklahoma,2021,58.3
41,Oregon,2021,44.6
42,Pennsylvania,2021,40.9
44,Rhode Island,2021,33.5
45,South Carolina,2021,55.2
46,South Dakota,2021,39.1
47,Tennessee,2021,66.0
48,Texas,2021,36.0
49,Utah,2021,48.0
50,Vermont,2021,32.5
51,Virginia,2021,36.3
53,Washington,2021,38.5
54,West Virginia,2021,52.3
55,Wisconsin,2021,38.3
56,Wyoming,2021,45.7
1,Alabama,2022,74.5
2,Alaska,2022,32.2
4,Arizona,2022,37.1
5,Arkansas,2022,72.1
6,California,2022,25.6
8,Colorado,2022,34.1
9,Connecticut,2022,34.0
10,Delaware,2022,40.7
11,District of Columbia,2022,32.2
