StateFIPS,State,Year,Value
1,Alabama,2011,49.76
1,Alabama,2012,49.34
1,Alabama,2013,45.34
1,Alabama,2014,40.02
1,Alabama,2015,36.96
1,Alabama,2016,36.35
1,Alabama,2017,38.48
2,Alaska,2011,24.78
2,Alaska,2012,24.22
2,Alaska,2013,27.69
2,Alaska,2014,25.92
2,Alaska,2015,23.58
2,Alaska,2016,23.73
2,Alaska,2017,22.44
4,Arizona,2011,36.15
4,Arizona,2012,32.76
4,Arizona,2013,29.49
4,Arizona,2014,29.64
4,Arizona,2015,29.08
4,Arizona,2016,27.33
4,Arizona,2017,28.35
5,Arkansas,2011,47.71
5,Arkansas,2012,45.91
5,Arkansas,2013,41.77
5,Arkansas,2014,44.66
5,Arkansas,2015,44.09
5,Arkansas,2016,43.74
5,Arkansas,2017,44.97
6,California,2011,28.36
6,California,2012,26.12
6,California,2013,24.62
6,California,2014,26.44
6,California,2015,24.86
6,California,2016,23.13
6,California,2017,24.17
8,Colorado,2011,33.29
8,Colorado,2012,26.01
8,Colorado,2013,22.12
8,Colorado,2014,23.74
8,Colorado,2015,23.44
8,Colorado,2016,20.49
8,Colorado,2017,19.78
9,Connecticut,2011,31.96
9,Connecticut,2012,31.3
9,Connecticut,2013,29.4
9,Connecticut,2014,25.42
9,Connecticut,2015,23.62
9,Connecticut,2016,26.81
9,Connecticut,2017,26.53
10,Delaware,2011,36.57
10,Delaware,2012,35.99
10,Delaware,2013,31.78
10,Delaware,2014,30.49
10,Delaware,2015,30.4
10,Delaware,2016,31.17
10,Delaware,2017,29.11
11,District of Columbia,2011,46.91
11,District of Columbia,2012,42.48
11,District of Columbia,2013,40.61
11,District of Columbia,2014,35.56
11,District of Columbia,2015,35.38
11,District of Columbia,2016,30.69
11,District of Columbia,2017,29.83
12,Florida,2011,32.99
12,Florida,2012,28.78
12,Florida,2013,26.98
12,Florida,2014,25.31
12,Florida,2015,25.02
12,Florida,2016,24.39
12,Florida,2017,25.64
13,Georgia,2011,43.67
13,Georgia,2012,41.89
13,Georgia,2013,38.42
13,Georgia,2014,35.37
13,Georgia,2015,33.76
13,Georgia,2016,32.04
13,Georgia,2017,31.9
15,Hawaii,2011,33.3
15,Hawaii,2012,28.65
15,Hawaii,2013,27.13
15,Hawaii,2014,26.73
15,Hawaii,2015,26.92
15,Hawaii,2016,21.7
15,Hawaii,2017,24.17
16,Idaho,2011,41.81
16,Idaho,2012,38.69
16,Idaho,2013,44.47
16,Idaho,2014,42.87
16,Idaho,2015,42.62
16,Idaho,2016,42.14
16,Idaho,2017,38.03
17,Illinois,2011,26.46
17,Illinois,2012,23.6
17,Illinois,2013,21.3
17,Illinois,2014,20.44
17,Illinois,2015,22.09
17,Illinois,2016,22.18
17,Illinois,2017,21.32
18,Indiana,2011,39.89
18,Indiana,2012,37.49
18,Indiana,2013,36.57
18,Indiana,2014,33.61
18,Indiana,2015,35.4
18,Indiana,2016,34.85
18,Indiana,2017,32.97
19,Iowa,2011,43.74
19,Iowa,2012,41.96
19,Iowa,2013,37.54
19,Iowa,2014,37.32
19,Iowa,2015,37.87
19,Iowa,2016,39.13
19,Iowa,2017,36.94
20,Kansas,2011,43.92
20,Kansas,2012,41.31
20,Kansas,2013,37.23
20,Kansas,2014,38.83
20,Kansas,2015,38.06
20,Kansas,2016,36.66
20,Kansas,2017,35.05
21,Kentucky,2011,57.43
21,Kentucky,2012,52.97
21,Kentucky,2013,45.37
21,Kentucky,2014,45.55
21,Kentucky,2015,43.62
21,Kentucky,2016,43.69
21,Kentucky,2017,41.78
22,Louisiana,2011,39.35
22,Louisiana,2012,39.78
22,Louisiana,2013,37.35
22,Louisiana,2014,34.22
22,Louisiana,2015,31.19
22,Louisiana,2016,32.76
22,Louisiana,2017,29.05
23,Maine,2011,52.41
23,Maine,2012,42.24
23,Maine,2013,40.59
23,Maine,2014,41.09
23,Maine,2015,36.53
23,Maine,2016,31.8
23,Maine,2017,36.3
24,Maryland,2011,41.25
24,Maryland,2012,34.61
24,Maryland,2013,34.02
24,Maryland,2014,32.11
24,Maryland,2015,31.51
24,Maryland,2016,31.07
24,Maryland,2017,30.47
25,Massachusetts,2011,26.81
25,Massachusetts,2012,23.76
25,Massachusetts,2013,19.97
25,Massachusetts,2014,18.96
25,Massachusetts,2015,19.9
25,Massachusetts,2016,18.8
25,Massachusetts,2017,19.11
26,Michigan,2011,33.49
26,Michigan,2012,30.78
26,Michigan,2013,27.36
26,Michigan,2014,23.68
26,Michigan,2015,26.51
26,Michigan,2016,28.52
26,Michigan,2017,26.55
27,Minnesota,2011,40.7
27,Minnesota,2012,36.47
27,Minnesota,2013,33.23
27,Minnesota,2014,31.69
27,Minnesota,2015,30.18
27,Minnesota,2016,29.14
27,Minnesota,2017,27.45
28,Mississippi,2011,51.69
28,Mississippi,2012,43.28
28,Mississippi,2013,43.75
28,Mississippi,2014,39.08
28,Mississippi,2015,41.17
28,Mississippi,2016,39.06
28,Mississippi,2017,36.36
29,Missouri,2011,45.95
29,Missouri,2012,45.42
29,Missouri,2013,38.93
29,Missouri,2014,39.75
29,Missouri,2015,41.71
29,Missouri,2016,42.27
29,Missouri,2017,40.45
30,Montana,2011,34.81
30,Montana,2012,28.0
30,Montana,2013,25.59
30,Montana,2014,32.06
30,Montana,2015,29.17
30,Montana,2016,24.94
30,Montana,2017,23.04
31,Nebraska,2011,44.25
31,Nebraska,2012,40.76
31,Nebraska,2013,40.27
31,Nebraska,2014,35.78
31,Nebraska,2015,41.19
31,Nebraska,2016,38.9
31,Nebraska,2017,39.48
32,Nevada,2011,23.43
32,Nevada,2012,17.91
32,Nevada,2013,17.62
32,Nevada,2014,16.14
32,Nevada,2015,15.68
32,Nevada,2016,15.0
32,Nevada,2017,14.34
33,New Hampshire,2011,40.88
33,New Hampshire,2012,36.04
33,New Hampshire,2013,32.96
33,New Hampshire,2014,30.63
33,New Hampshire,2015,31.88
33,New Hampshire,2016,26.37
33,New Hampshire,2017,31.05
34,New Jersey,2011,26.68
34,New Jersey,2012,20.77
34,New Jersey,2013,21.47
34,New Jersey,2014,19.84
34,New Jersey,2015,20.6
34,New Jersey,2016,19.85
34,New Jersey,2017,19.95
35,New Mexico,2011,49.52
35,New Mexico,2012,42.09
35,New Mexico,2013,39.13
35,New Mexico,2014,37.39
35,New Mexico,2015,42.89
35,New Mexico,2016,36.54
35,New Mexico,2017,43.44
36,New York,2011,28.49
36,New York,2012,25.29
36,New York,2013,23.17
36,New York,2014,22.06
36,New York,2015,21.15
36,New York,2016,21.39
36,New York,2017,21.74
37,North Carolina,2011,43.42
37,North Carolina,2012,41.33
37,North Carolina,2013,36.03
37,North Carolina,2014,33.98
37,North Carolina,2015,32.69
37,North Carolina,2016,32.11
37,North Carolina,2017,32.22
38,North Dakota,2011,39.28
38,North Dakota,2012,36.36
38,North Dakota,2013,34.17
38,North Dakota,2014,32.09
38,North Dakota,2015,28.22
38,North Dakota,2016,29.38
38,North Dakota,2017,27.67
39,Ohio,2011,37.05
39,Ohio,2012,31.49
39,Ohio,2013,30.62
39,Ohio,2014,27.15
39,Ohio,2015,27.41
39,Ohio,2016,29.13
39,Ohio,2017,29.87
40,Oklahoma,2011,58.94
40,Oklahoma,2012,62.22
40,Oklahoma,2013,52.13
40,Oklahoma,2014,49.11
40,Oklahoma,2015,48.23
40,Oklahoma,2016,50.14
40,Oklahoma,2017,49.38
41,Oregon,2011,48.63
41,Oregon,2012,42.53
41,Oregon,2013,41.61
41,Oregon,2014,42.06
41,Oregon,2015,43.15
41,Oregon,2016,40.41
41,Oregon,2017,39.8
42,Pennsylvania,2011,33.59
42,Pennsylvania,2012,31.85
42,Pennsylvania,2013,30.14
42,Pennsylvania,2014,27.28
42,Pennsylvania,2015,27.24
42,Pennsylvania,2016,27.98
42,Pennsylvania,2017,27.98
44,Rhode Island,2011,28.7
44,Rhode Island,2012,38.38
44,Rhode Island,2013,21.09
44,Rhode Island,2014,19.25
44,Rhode Island,2015,20.74
44,Rhode Island,2016,20.99
44,Rhode Island,2017,21.71
45,South Carolina,2011,44.24
45,South Carolina,2012,39.44
45,South Carolina,2013,34.14
45,South Carolina,2014,30.14
45,South Carolina,2015,30.54
45,South Carolina,2016,31.8
45,South Carolina,2017,29.74
46,South Dakota,2011,44.21
46,South Dakota,2012,39.88
46,South Dakota,2013,42.37
46,South Dakota,2014,38.85
46,South Dakota,2015,38.87
46,South Dakota,2016,39.7
46,South Dakota,2017,37.83
47,Tennessee,2011,42.96
47,Tennessee,2012,42.8
47,Tennessee,2013,38.64
47,Tennessee,2014,36.18
47,Tennessee,2015,37.33
47,Tennessee,2016,34.3
47,Tennessee,2017,33.89
48,Texas,2011,36.04
48,Texas,2012,34.47
48,Texas,2013,29.74
48,Texas,2014,30.68
48,Texas,2015,32.31
48,Texas,2016,30.84
48,Texas,2017,31.32
49,Utah,2011,64.86
