"StateFIPS","State","CountyFIPS","County","Start Year","End Year","Value","Data Comment",
"01","Alabama","01001","Autauga","2011","2015","3.57","",
"01","Alabama","01001","Autauga","2012","2016","3.84","",
"01","Alabama","01001","Autauga","2013","2017","3.86","",
"01","Alabama","01001","Autauga","2014","2018","3.41","",
"01","Alabama","01001","Autauga","2015","2019","3.32","",
"01","Alabama","01001","Autauga","2016","2020","3.50","",
"01","Alabama","01003","Baldwin","2011","2015","4.34","",
"01","Alabama","01003","Baldwin","2012","2016","4.43","",
"01","Alabama","01003","Baldwin","2013","2017","3.93","",
"01","Alabama","01003","Baldwin","2014","2018","4.86","",
"01","Alabama","01003","Baldwin","2015","2019","4.63","",
"01","Alabama","01003","Baldwin","2016","2020","4.48","",
"01","Alabama","01005","Barbour","2011","2015","Suppressed","",
"01","Alabama","01005","Barbour","2012","2016","Suppressed","",
"01","Alabama","01005","Barbour","2013","2017","Suppressed","",
"01","Alabama","01005","Barbour","2014","2018","Suppressed","",
"01","Alabama","01005","Barbour","2015","2019","Suppressed","",
"01","Alabama","01005","Barbour","2016","2020","Suppressed","",
"01","Alabama","01007","Bibb","2011","2015","4.13","",
"01","Alabama","01007","Bibb","2012","2016","3.86","",
"01","Alabama","01007","Bibb","2013","2017","4.12","",
"01","Alabama","01007","Bibb","2014","2018","3.81","",
"01","Alabama","01007","Bibb","2015","2019","3.69","",
"01","Alabama","01007","Bibb","2016","2020","3.79","",
"01","Alabama","01009","Blount","2011","2015","4.13","",
"01","Alabama","01009","Blount","2012","2016","4.09","",
"01","Alabama","01009","Blount","2013","2017","4.26","",
"01","Alabama","01009","Blount","2014","2018","4.27","",
"01","Alabama","01009","Blount","2015","2019","4.42","",
"01","Alabama","01009","Blount","2016","2020","4.69","",
"01","Alabama","01011","Bullock","2011","2015","3.35","",
"01","Alabama","01011","Bullock","2012","2016","3.04","",
"01","Alabama","01011","Bullock","2013","2017","3.04","",
"01","Alabama","01011","Bullock","2014","2018","2.59","",
"01","Alabama","01011","Bullock","2015","2019","Suppressed","",
"01","Alabama","01011","Bullock","2016","2020","1.99","",
"01","Alabama","01013","Butler","2011","2015","Suppressed","Unstable",
"01","Alabama","01013","Butler","2012","2016","Suppressed","Unstable",
"01","Alabama","01013","Butler","2013","2017","Suppressed","",
"01","Alabama","01013","Butler","2014","2018","Suppressed","",
"01","Alabama","01013","Butler","2015","2019","Suppressed","",
"01","Alabama","01013","Butler","2016","2020","Suppressed","",
"01","Alabama","01015","Calhoun","2011","2015","5.11","",
"01","Alabama","01015","Calhoun","2012","2016","5.65","",
"01","Alabama","01015","Calhoun","2013","2017","5.62","",
"01","Alabama","01015","Calhoun","2014","2018","5.80","",
"01","Alabama","01015","Calhoun","2015","2019","5.94","",
