"StateFIPS","State","CountyFIPS","County","Start Year","End Year","Value","Data Comment",,"Sex"
"01","Alabama","01001","Autauga","2011","2015","51.42","",,"Male"
"01","Alabama","01001","Autauga","2011","2015","37.48","",,"Female"
"01","Alabama","01001","Autauga","2012","2016","52.42","",,"Male"
"01","Alabama","01001","Autauga","2012","2016","38.42","",,"Female"
"01","Alabama","01001","Autauga","2013","2017","53.55","",,"Male"
"01","Alabama","01001","Autauga","2013","2017","38.48","",,"Female"
"01","Alabama","01001","Autauga","2014","2018","54.44","",,"Male"
"01","Alabama","01001","Autauga","2014","2018","38.86","",,"Female"
"01","Alabama","01001","Autauga","2015","2019","54.92","",,"Male"
"01","Alabama","01001","Autauga","2015","2019","40.05","",,"Female"
"01","Alabama","01001","Autauga","2016","2020","54.15","",,"Male"
"01","Alabama","01001","Autauga","2016","2020","39.49","",,"Female"
"01","Alabama","01003","Baldwin","2011","2015","52.99","",,"Male"
"01","Alabama","01003","Baldwin","2011","2015","37.09","",,"Female"
"01","Alabama","01003","Baldwin","2012","2016","51.57","",,"Male"
"01","Alabama","01003","Baldwin","2012","2016","38.17","",,"Female"
"01","Alabama","01003","Baldwin","2013","2017","52.92","",,"Male"
"01","Alabama","01003","Baldwin","2013","2017","38.20","",,"Female"
"01","Alabama","01003","Baldwin","2014","2018","50.43","",,"Male"
"01","Alabama","01003","Baldwin","2014","2018","37.76","",,"Female"
"01","Alabama","01003","Baldwin","2015","2019","50.52","",,"Male"
"01","Alabama","01003","Baldwin","2015","2019","37.74","",,"Female"
"01","Alabama","01003","Baldwin","2016","2020","49.82","",,"Male"
"01","Alabama","01003","Baldwin","2016","2020","37.16","",,"Female"
"01","Alabama","01005","Barbour","2011","2015","51.16","",,"Male"
"01","Alabama","01005","Barbour","2011","2015","40.43","",,"Female"
"01","Alabama","01005","Barbour","2012","2016","51.07","",,"Male"
"01","Alabama","01005","Barbour","2012","2016","38.24","",,"Female"
"01","Alabama","01005","Barbour","2013","2017","48.40","",,"Male"
"01","Alabama","01005","Barbour","2013","2017","38.05","",,"Female"
"01","Alabama","01005","Barbour","2014","2018","47.42","",,"Male"
"01","Alabama","01005","Barbour","2014","2018","36.04","",,"Female"
"01","Alabama","01005","Barbour","2015","2019","43.13","",,"Male"
"01","Alabama","01005","Barbour","2015","2019","33.72","",,"Female"
"01","Alabama","01005","Barbour","2016","2020","42.48","",,"Male"
"01","Alabama","01005","Barbour","2016","2020","32.12","",,"Female"
"01","Alabama","01007","Bibb","2011","2015","46.50","",,"Male"
"01","Alabama","01007","Bibb","2011","2015","35.67","",,"Female"
"01","Alabama","01007","Bibb","2012","2016","45.87","",,"Male"
"01","Alabama","01007","Bibb","2012","2016","35.75","",,"Female"
"01","Alabama","01007","Bibb","2013","2017","45.07","",,"Male"
"01","Alabama","01007","Bibb","2013","2017","34.63","",,"Female"
"01","Alabama","01007","Bibb","2014","2018","44.50","",,"Male"
"01","Alabama","01007","Bibb","2014","2018","34.84","",,"Female"
"01","Alabama","01007","Bibb","2015","2019","43.52","",,"Male"
"01","Alabama","01007","Bibb","2015","2019","34.27","",,"Female"
"01","Alabama","01007","Bibb","2016","2020","42.24","",,"Male"
"01","Alabama","01007","Bibb","2016","2020","32.02","",,"Female"
"01","Alabama","01009","Blount","2011","2015","47.78","",,"Male"
"01","Alabama","01009","Blount","2011","2015","36.25","",,"Female"
"01","Alabama","01009","Blount","2012","2016","46.07","",,"Male"
"01","Alabama","01009","Blount","2012","2016","37.21","",,"Female"
"01","Alabama","01009","Blount","2013","2017","46.19","",,"Male"
"01","Alabama","01009","Blount","2013","2017","36.45","",,"Female"
"01","Alabama","01009","Blount","2014","2018","46.05","",,"Male"
"01","Alabama","01009","Blount","2014","2018","35.83","",,"Female"
"01","Alabama","01009","Blount","2015","2019","45.31","",,"Male"
"01","Alabama","01009","Blount","2015","2019","35.93","",,"Female"
"01","Alabama","01009","Blount","2016","2020","44.26","",,"Male"
"01","Alabama","01009","Blount","2016","2020","34.89","",,"Female"
"01","Alabama","01011","Bullock","2011","2015","52.30","",,"Male"
"01","Alabama","01011","Bullock","2011","2015","38.42","",,"Female"
"01","Alabama","01011","Bullock","2012","2016","51.89","",,"Male"
"01","Alabama","01011","Bullock","2012","2016","37.97","",,"Female"
"01","Alabama","01011","Bullock","2013","2017","52.30","",,"Male"
"01","Alabama","01011","Bullock","2013","2017","36.46","",,"Female"
"01","Alabama","01011","Bullock","2014","2018","51.64","",,"Male"
"01","Alabama","01011","Bullock","2014","2018","35.54","",,"Female"
"01","Alabama","01011","Bullock","2015","2019","50.53","",,"Male"
"01","Alabama","01011","Bullock","2015","2019","36.53","",,"Female"
"01","Alabama","01011","Bullock","2016","2020","49.60","",,"Male"
"01","Alabama","01011","Bullock","2016","2020","37.09","",,"Female"
"01","Alabama","01013","Butler","2011","2015","66.72","",,"Male"
"01","Alabama","01013","Butler","2011","2015","44.28","",,"Female"
"01","Alabama","01013","Butler","2012","2016","65.49","",,"Male"
"01","Alabama","01013","Butler","2012","2016","46.35","",,"Female"
"01","Alabama","01013","Butler","2013","2017","65.02","",,"Male"
"01","Alabama","01013","Butler","2013","2017","45.41","",,"Female"
"01","Alabama","01013","Butler","2014","2018","60.60","",,"Male"
"01","Alabama","01013","Butler","2014","2018","42.52","",,"Female"
"01","Alabama","01013","Butler","2015","2019","56.12","",,"Male"
"01","Alabama","01013","Butler","2015","2019","43.47","",,"Female"
"01","Alabama","01013","Butler","2016","2020","56.28","",,"Male"
"01","Alabama","01013","Butler","2016","2020","42.93","",,"Female"
"01","Alabama","01015","Calhoun","2011","2015","58.90","",,"Male"
"01","Alabama","01015","Calhoun","2011","2015","36.41","",,"Female"
"01","Alabama","01015","Calhoun","2012","2016","56.82","",,"Male"
"01","Alabama","01015","Calhoun","2012","2016","38.49","",,"Female"
"01","Alabama","01015","Calhoun","2013","2017","58.03","",,"Male"
"01","Alabama","01015","Calhoun","2013","2017","38.80","",,"Female"
"01","Alabama","01015","Calhoun","2014","2018","56.92","",,"Male"
"01","Alabama","01015","Calhoun","2014","2018","39.00","",,"Female"
"01","Alabama","01015","Calhoun","2015","2019","56.36","",,"Male"
"01","Alabama","01015","Calhoun","2015","2019","38.39","",,"Female"
"01","Alabama","01015","Calhoun","2016","2020","53.74","",,"Male"
"01","Alabama","01015","Calhoun","2016","2020","36.18","",,"Female"
"01","Alabama","01017","Chambers","2011","2015","50.03","",,"Male"
"01","Alabama","01017","Chambers","2011","2015","34.78","",,"Female"
"01","Alabama","01017","Chambers","2012","2016","50.37","",,"Male"
"01","Alabama","01017","Chambers","2012","2016","35.92","",,"Female"
"01","Alabama","01017","Chambers","2013","2017","49.53","",,"Male"
"01","Alabama","01017","Chambers","2013","2017","35.48","",,"Female"
"01","Alabama","01017","Chambers","2014","2018","47.49","",,"Male"
"01","Alabama","01017","Chambers","2014","2018","35.89","",,"Female"
"01","Alabama","01017","Chambers","2015","2019","45.96","",,"Male"
"01","Alabama","01017","Chambers","2015","2019","34.92","",,"Female"
"01","Alabama","01017","Chambers","2016","2020","43.03","",,"Male"
"01","Alabama","01017","Chambers","2016","2020","35.58","",,"Female"
"01","Alabama","01019","Cherokee","2011","2015","55.97","",,"Male"
"01","Alabama","01019","Cherokee","2011","2015","38.11","",,"Female"
"01","Alabama","01019","Cherokee","2012","2016","55.93","",,"Male"
"01","Alabama","01019","Cherokee","2012","2016","40.03","",,"Female"
"01","Alabama","01019","Cherokee","2013","2017","55.19","",,"Male"
"01","Alabama","01019","Cherokee","2013","2017","40.18","",,"Female"
"01","Alabama","01019","Cherokee","2014","2018","50.98","",,"Male"
"01","Alabama","01019","Cherokee","2014","2018","40.45","",,"Female"
"01","Alabama","01019","Cherokee","2015","2019","49.80","",,"Male"
"01","Alabama","01019","Cherokee","2015","2019","39.92","",,"Female"
"01","Alabama","01019","Cherokee","2016","2020","48.45","",,"Male"
"01","Alabama","01019","Cherokee","2016","2020","37.92","",,"Female"
"01","Alabama","01021","Chilton","2011","2015","48.02","",,"Male"
"01","Alabama","01021","Chilton","2011","2015","37.14","",,"Female"
"01","Alabama","01021","Chilton","2012","2016","49.82","",,"Male"
"01","Alabama","01021","Chilton","2012","2016","36.34","",,"Female"
"01","Alabama","01021","Chilton","2013","2017","49.22","",,"Male"
"01","Alabama","01021","Chilton","2013","2017","36.23","",,"Female"
"01","Alabama","01021","Chilton","2014","2018","49.04","",,"Male"
"01","Alabama","01021","Chilton","2014","2018","36.92","",,"Female"
"01","Alabama","01021","Chilton","2015","2019","48.42","",,"Male"
"01","Alabama","01021","Chilton","2015","2019","37.53","",,"Female"
"01","Alabama","01021","Chilton","2016","2020","46.28","",,"Male"
"01","Alabama","01021","Chilton","2016","2020","35.55","",,"Female"
"01","Alabama","01023","Choctaw","2011","2015","63.16","",,"Male"
"01","Alabama","01023","Choctaw","2011","2015","42.64","",,"Female"
"01","Alabama","01023","Choctaw","2012","2016","62.40","",,"Male"
"01","Alabama","01023","Choctaw","2012","2016","43.53","",,"Female"
"01","Alabama","01023","Choctaw","2013","2017","61.66","",,"Male"
"01","Alabama","01023","Choctaw","2013","2017","46.66","",,"Female"
"01","Alabama","01023","Choctaw","2014","2018","61.24","",,"Male"
"01","Alabama","01023","Choctaw","2014","2018","49.36","",,"Female"
"01","Alabama","01023","Choctaw","2015","2019","59.50","",,"Male"
"01","Alabama","01023","Choctaw","2015","2019","48.03","",,"Female"
"01","Alabama","01023","Choctaw","2016","2020","60.55","",,"Male"
"01","Alabama","01023","Choctaw","2016","2020","47.85","",,"Female"
"01","Alabama","01025","Clarke","2011","2015","56.54","",,"Male"
"01","Alabama","01025","Clarke","2011","2015","40.87","",,"Female"
"01","Alabama","01025","Clarke","2012","2016","54.69","",,"Male"
"01","Alabama","01025","Clarke","2012","2016","41.19","",,"Female"
"01","Alabama","01025","Clarke","2013","2017","54.29","",,"Male"
"01","Alabama","01025","Clarke","2013","2017","39.21","",,"Female"
