"StateFIPS","State","CountyFIPS","County","Start Year","End Year","Value","Data Comment",,"Sex"
"01","Alabama","01001","Autauga","2011","2015","14.9","",,"Male"
"01","Alabama","01001","Autauga","2011","2015","9.8","",,"Female"
"01","Alabama","01001","Autauga","2012","2016","15.9","",,"Male"
"01","Alabama","01001","Autauga","2012","2016","10.0","",,"Female"
"01","Alabama","01001","Autauga","2013","2017","17.0","",,"Male"
"01","Alabama","01001","Autauga","2013","2017","9.5","",,"Female"
"01","Alabama","01001","Autauga","2014","2018","17.9","",,"Male"
"01","Alabama","01001","Autauga","2014","2018","10.2","",,"Female"
"01","Alabama","01001","Autauga","2015","2019","17.6","",,"Male"
"01","Alabama","01001","Autauga","2015","2019","9.6","",,"Female"
"01","Alabama","01001","Autauga","2016","2020","16.9","",,"Male"
"01","Alabama","01001","Autauga","2016","2020","10.1","",,"Female"
"01","Alabama","01003","Baldwin","2011","2015","19.0","",,"Male"
"01","Alabama","01003","Baldwin","2011","2015","11.2","",,"Female"
"01","Alabama","01003","Baldwin","2012","2016","18.1","",,"Male"
"01","Alabama","01003","Baldwin","2012","2016","10.8","",,"Female"
"01","Alabama","01003","Baldwin","2013","2017","18.3","",,"Male"
"01","Alabama","01003","Baldwin","2013","2017","11.8","",,"Female"
"01","Alabama","01003","Baldwin","2014","2018","18.3","",,"Male"
"01","Alabama","01003","Baldwin","2014","2018","11.7","",,"Female"
"01","Alabama","01003","Baldwin","2015","2019","17.9","",,"Male"
"01","Alabama","01003","Baldwin","2015","2019","11.5","",,"Female"
"01","Alabama","01003","Baldwin","2016","2020","17.3","",,"Male"
"01","Alabama","01003","Baldwin","2016","2020","11.4","",,"Female"
"01","Alabama","01005","Barbour","2011","2015","11.7","",,"Male"
"01","Alabama","01005","Barbour","2011","2015","10.5","",,"Female"
"01","Alabama","01005","Barbour","2012","2016","14.0","",,"Male"
"01","Alabama","01005","Barbour","2012","2016","9.2","",,"Female"
"01","Alabama","01005","Barbour","2013","2017","15.2","",,"Male"
"01","Alabama","01005","Barbour","2013","2017","8.8","",,"Female"
"01","Alabama","01005","Barbour","2014","2018","14.9","",,"Male"
"01","Alabama","01005","Barbour","2014","2018","8.2","",,"Female"
"01","Alabama","01005","Barbour","2015","2019","14.6","",,"Male"
"01","Alabama","01005","Barbour","2015","2019","9.6","",,"Female"
"01","Alabama","01005","Barbour","2016","2020","14.6","",,"Male"
"01","Alabama","01005","Barbour","2016","2020","9.6","",,"Female"
"01","Alabama","01007","Bibb","2011","2015","15.4","",,"Male"
"01","Alabama","01007","Bibb","2011","2015","8.9","",,"Female"
"01","Alabama","01007","Bibb","2012","2016","14.6","",,"Male"
"01","Alabama","01007","Bibb","2012","2016","8.8","",,"Female"
"01","Alabama","01007","Bibb","2013","2017","14.4","",,"Male"
"01","Alabama","01007","Bibb","2013","2017","8.4","",,"Female"
"01","Alabama","01007","Bibb","2014","2018","14.9","",,"Male"
"01","Alabama","01007","Bibb","2014","2018","9.3","",,"Female"
"01","Alabama","01007","Bibb","2015","2019","15.3","",,"Male"
"01","Alabama","01007","Bibb","2015","2019","9.4","",,"Female"
"01","Alabama","01007","Bibb","2016","2020","15.1","",,"Male"
"01","Alabama","01007","Bibb","2016","2020","9.3","",,"Female"
"01","Alabama","01009","Blount","2011","2015","16.8","",,"Male"
"01","Alabama","01009","Blount","2011","2015","8.8","",,"Female"
"01","Alabama","01009","Blount","2012","2016","16.5","",,"Male"
"01","Alabama","01009","Blount","2012","2016","8.8","",,"Female"
