"StateFIPS","State","CountyFIPS","County","Start Year","End Year","Value","Data Comment",,"Race Ethnicity"
"01","Alabama","01001","Autauga","2011","2015","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","01001","Autauga","2011","2015","46.26","",,"Black (includes Hispanic)"
"01","Alabama","01001","Autauga","2011","2015","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","01001","Autauga","2011","2015","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","01001","Autauga","2011","2015","42.43","",,"White (includes Hispanic)"
"01","Alabama","01001","Autauga","2012","2016","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","01001","Autauga","2012","2016","47.38","",,"Black (includes Hispanic)"
"01","Alabama","01001","Autauga","2012","2016","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","01001","Autauga","2012","2016","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","01001","Autauga","2012","2016","43.47","",,"White (includes Hispanic)"
"01","Alabama","01001","Autauga","2013","2017","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","01001","Autauga","2013","2017","46.81","",,"Black (includes Hispanic)"
"01","Alabama","01001","Autauga","2013","2017","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","01001","Autauga","2013","2017","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","01001","Autauga","2013","2017","44.53","",,"White (includes Hispanic)"
"01","Alabama","01001","Autauga","2014","2018","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","01001","Autauga","2014","2018","48.38","",,"Black (includes Hispanic)"
"01","Alabama","01001","Autauga","2014","2018","Suppressed","",,"Hispanic (all races)"
"01","Alabama","01001","Autauga","2014","2018","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","01001","Autauga","2014","2018","44.36","",,"White (includes Hispanic)"
"01","Alabama","01001","Autauga","2015","2019","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
