"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2011","6.3","",
"01","Alabama","2012","7.5","",
"01","Alabama","2013","6.7","",
"01","Alabama","2014","5.9","",
"01","Alabama","2015","6.4","",
"01","Alabama","2016","6.3","",
"01","Alabama","2017","6.0","",
"01","Alabama","2018","7.1","",
"01","Alabama","2019","6.3","",
"01","Alabama","2020","7.0","",
"02","Alaska","2011","6.5","",
"02","Alaska","2012","6.9","",
"02","Alaska","2013","4.7","",
"02","Alaska","2014","5.8","",
"02","Alaska","2015","7.3","",
"02","Alaska","2016","8.0","",
"02","Alaska","2017","6.8","",
"02","Alaska","2018","5.4","",
"02","Alaska","2019","6.2","",
"02","Alaska","2020","6.3","",
"04","Arizona","2011","6.7","",
"04","Arizona","2012","6.7","",
"04","Arizona","2013","6.2","",
"04","Arizona","2014","6.4","",
"04","Arizona","2015","6.0","",
"04","Arizona","2016","6.0","",
"04","Arizona","2017","5.7","",
"04","Arizona","2018","5.8","",
"04","Arizona","2019","6.2","",
"04","Arizona","2020","6.2","",
"05","Arkansas","2011","6.2","",
"05","Arkansas","2012","6.6","",
"05","Arkansas","2013","7.0","",
"05","Arkansas","2014","7.9","",
"05","Arkansas","2015","6.2","",
"05","Arkansas","2016","6.4","",
"05","Arkansas","2017","6.2","",
"05","Arkansas","2018","6.8","",
"05","Arkansas","2019","6.0","",
"05","Arkansas","2020","6.8","",
"06","California","2011","6.0","",
"06","California","2012","6.0","",
"06","California","2013","6.2","",
"06","California","2014","6.1","",
"06","California","2015","6.1","",
"06","California","2016","5.8","",
"06","California","2017","6.0","",
"06","California","2018","5.8","",
"06","California","2019","5.7","",
"06","California","2020","5.8","",
"08","Colorado","2011","6.9","",
"08","Colorado","2012","6.5","",
"08","Colorado","2013","6.0","",
"08","Colorado","2014","6.9","",
"08","Colorado","2015","6.9","",
"08","Colorado","2016","6.0","",
"08","Colorado","2017","6.9","",
"08","Colorado","2018","6.0","",
"08","Colorado","2019","5.9","",
"08","Colorado","2020","6.4","",
"09","Connecticut","2011","7.2","",
"09","Connecticut","2012","6.7","",
"09","Connecticut","2013","7.9","",
"09","Connecticut","2014","5.9","",
"09","Connecticut","2015","7.3","",
"09","Connecticut","2016","7.1","",
"09","Connecticut","2017","6.9","",
"09","Connecticut","2018","7.7","",
"09","Connecticut","2019","6.7","",
"09","Connecticut","2020","7.1","",
"10","Delaware","2011","7.2","",
"10","Delaware","2012","6.4","",
"10","Delaware","2013","6.6","",
"10","Delaware","2014","6.3","",
"10","Delaware","2015","5.4","",
"10","Delaware","2016","7.2","",
"10","Delaware","2017","7.0","",
"10","Delaware","2018","6.5","",
"10","Delaware","2019","5.2","",
"10","Delaware","2020","7.1","",
"11","District of Columbia","2011","5.3","",
"11","District of Columbia","2012","5.4","",
"11","District of Columbia","2013","6.9","",
"11","District of Columbia","2014","5.3","",
"11","District of Columbia","2015","2.7","",
"11","District of Columbia","2016","5.0","",
"11","District of Columbia","2017","4.2","",
"11","District of Columbia","2018","5.4","",
"11","District of Columbia","2019","5.5","",
"11","District of Columbia","2020","5.7","",
"12","Florida","2011","6.8","",
"12","Florida","2012","6.5","",
"12","Florida","2013","6.9","",
"12","Florida","2014","6.6","",
"12","Florida","2015","6.7","",
"12","Florida","2016","6.6","",
"12","Florida","2017","6.4","",
"12","Florida","2018","7.0","",
"12","Florida","2019","6.7","",
"12","Florida","2020","6.5","",
"13","Georgia","2011","6.2","",
"13","Georgia","2012","6.6","",
"13","Georgia","2013","6.3","",
"13","Georgia","2014","6.1","",
"13","Georgia","2015","6.2","",
"13","Georgia","2016","6.1","",
"13","Georgia","2017","5.7","",
"13","Georgia","2018","5.9","",
"13","Georgia","2019","5.9","",
"13","Georgia","2020","5.9","",
"15","Hawaii","2011","3.2","",
"15","Hawaii","2012","4.3","",
"15","Hawaii","2013","4.6","",
"15","Hawaii","2014","3.8","",
"15","Hawaii","2015","4.2","",
"15","Hawaii","2016","4.3","",
"15","Hawaii","2017","4.9","",
"15","Hawaii","2018","4.4","",
"15","Hawaii","2019","3.7","",
"15","Hawaii","2020","4.5","",
"16","Idaho","2011","5.8","",
"16","Idaho","2012","7.4","",
"16","Idaho","2013","7.0","",
"16","Idaho","2014","7.2","",
"16","Idaho","2015","9.2","",
"16","Idaho","2016","6.7","",
"16","Idaho","2017","6.9","",
"16","Idaho","2018","7.6","",
"16","Idaho","2019","7.4","",
"16","Idaho","2020","5.9","",
"17","Illinois","2011","6.9","",
"17","Illinois","2012","6.1","",
"17","Illinois","2013","6.2","",
"17","Illinois","2014","6.5","",
"17","Illinois","2015","6.5","",
"17","Illinois","2016","6.4","",
"17","Illinois","2017","6.3","",
"17","Illinois","2018","6.4","",
"17","Illinois","2019","6.1","",
"17","Illinois","2020","6.1","",
"18","Indiana","2011","7.1","",
"18","Indiana","2012","6.9","",
"18","Indiana","2013","6.7","",
"18","Indiana","2014","6.6","",
"18","Indiana","2015","6.4","",
"18","Indiana","2017","6.9","",
"18","Indiana","2018","6.4","",
"18","Indiana","2019","6.6","",
"19","Iowa","2011","7.9","",
"19","Iowa","2012","8.0","",
"19","Iowa","2013","6.9","",
"19","Iowa","2014","7.5","",
"19","Iowa","2015","6.9","",
"19","Iowa","2016","6.9","",
"19","Iowa","2017","7.5","",
"19","Iowa","2018","7.3","",
"19","Iowa","2019","6.5","",
"19","Iowa","2020","6.8","",
"21","Kentucky","2011","7.8","",
"21","Kentucky","2012","7.5","",
"21","Kentucky","2013","7.9","",
"21","Kentucky","2014","7.4","",
"21","Kentucky","2015","8.0","",
"21","Kentucky","2016","7.2","",
"21","Kentucky","2017","7.6","",
"21","Kentucky","2018","7.3","",
"21","Kentucky","2019","7.5","",
"21","Kentucky","2020","6.8","",
"22","Louisiana","2011","5.6","",
"22","Louisiana","2012","6.7","",
