"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2011","8.2","",
"01","Alabama","2012","9.5","",
"01","Alabama","2013","8.5","",
"01","Alabama","2014","9.4","",
"01","Alabama","2015","9.3","",
"01","Alabama","2016","10.0","",
"01","Alabama","2017","9.7","",
"01","Alabama","2018","8.3","",
"01","Alabama","2019","10.2","",
"01","Alabama","2020","9.0","",
"02","Alaska","2011","5.8","",
"02","Alaska","2012","7.8","",
"02","Alaska","2013","6.6","",
"02","Alaska","2014","6.7","",
"02","Alaska","2015","8.4","",
"02","Alaska","2016","7.4","",
"02","Alaska","2017","8.8","",
"02","Alaska","2018","8.6","",
"02","Alaska","2019","6.0","",
"02","Alaska","2020","Suppressed","",
"04","Arizona","2011","6.5","",
"04","Arizona","2012","7.0","",
"04","Arizona","2013","6.5","",
"04","Arizona","2014","5.9","",
"04","Arizona","2015","7.6","",
"04","Arizona","2016","6.6","",
"04","Arizona","2017","6.4","",
"04","Arizona","2018","6.2","",
"04","Arizona","2019","6.3","",
"04","Arizona","2020","5.5","",
"05","Arkansas","2011","8.2","",
"05","Arkansas","2012","9.5","",
"05","Arkansas","2013","10.9","",
"05","Arkansas","2014","9.4","",
"05","Arkansas","2015","10.5","",
"05","Arkansas","2016","8.7","",
"05","Arkansas","2017","8.0","",
"05","Arkansas","2018","10.6","",
"05","Arkansas","2019","9.5","",
"05","Arkansas","2020","8.6","",
"06","California","2011","7.3","",
"06","California","2012","7.7","",
"06","California","2013","7.2","",
"06","California","2014","7.1","",
"06","California","2015","7.3","",
"06","California","2016","7.6","",
"06","California","2017","7.4","",
"06","California","2018","7.6","",
"06","California","2019","7.3","",
"06","California","2020","6.7","",
"08","Colorado","2011","5.6","",
"08","Colorado","2012","5.7","",
"08","Colorado","2013","5.7","",
"08","Colorado","2014","6.4","",
"08","Colorado","2015","6.4","",
"08","Colorado","2016","6.4","",
"08","Colorado","2017","6.4","",
"08","Colorado","2018","6.0","",
"08","Colorado","2019","5.6","",
"08","Colorado","2020","5.5","",
"09","Connecticut","2011","6.7","",
"09","Connecticut","2012","6.9","",
"09","Connecticut","2013","7.3","",
"09","Connecticut","2014","6.3","",
"09","Connecticut","2015","6.2","",
"09","Connecticut","2016","6.3","",
"09","Connecticut","2017","4.6","",
"09","Connecticut","2018","6.0","",
"09","Connecticut","2019","5.1","",
"09","Connecticut","2020","5.0","",
"10","Delaware","2011","8.7","",
"10","Delaware","2012","8.4","",
"10","Delaware","2013","6.4","",
"10","Delaware","2014","9.2","",
"10","Delaware","2015","8.3","",
"10","Delaware","2016","8.4","",
"10","Delaware","2017","6.6","",
"10","Delaware","2018","8.8","",
"10","Delaware","2019","6.4","",
"10","Delaware","2020","5.8","",
"11","District of Columbia","2011","13.3","",
"11","District of Columbia","2012","7.7","",
"11","District of Columbia","2013","8.3","",
"11","District of Columbia","2014","9.6","",
"11","District of Columbia","2015","8.5","",
"11","District of Columbia","2016","8.5","",
"11","District of Columbia","2017","7.9","",
"11","District of Columbia","2018","5.1","",
"11","District of Columbia","2019","8.2","",
"11","District of Columbia","2020","6.5","",
"12","Florida","2011","9.6","",
"12","Florida","2012","8.8","",
"12","Florida","2013","8.9","",
"12","Florida","2014","8.8","",
"12","Florida","2015","9.2","",
"12","Florida","2016","10.0","",
"12","Florida","2017","9.1","",
"12","Florida","2018","9.0","",
"12","Florida","2019","9.5","",
"12","Florida","2020","8.7","",
"13","Georgia","2011","7.8","",
"13","Georgia","2012","8.0","",
"13","Georgia","2013","7.0","",
"13","Georgia","2014","8.3","",
"13","Georgia","2015","8.2","",
"13","Georgia","2016","7.8","",
"13","Georgia","2017","8.4","",
"13","Georgia","2018","7.6","",
"13","Georgia","2019","8.6","",
"13","Georgia","2020","7.9","",
"15","Hawaii","2011","5.8","",
"15","Hawaii","2012","8.9","",
"15","Hawaii","2013","6.5","",
"15","Hawaii","2014","8.5","",
"15","Hawaii","2015","6.5","",
"15","Hawaii","2016","6.4","",
"15","Hawaii","2017","6.7","",
"15","Hawaii","2018","7.0","",
"15","Hawaii","2019","7.4","",
"15","Hawaii","2020","7.2","",
"16","Idaho","2011","7.1","",
"16","Idaho","2012","6.6","",
"16","Idaho","2013","5.1","",
"16","Idaho","2014","6.3","",
"16","Idaho","2015","5.7","",
"16","Idaho","2016","7.7","",
"16","Idaho","2017","7.4","",
"16","Idaho","2018","8.3","",
"16","Idaho","2019","8.2","",
"16","Idaho","2020","4.9","",
"17","Illinois","2011","8.1","",
"17","Illinois","2012","7.1","",
"17","Illinois","2013","7.3","",
"17","Illinois","2014","8.4","",
"17","Illinois","2015","7.3","",
"17","Illinois","2016","8.3","",
"17","Illinois","2017","7.5","",
"17","Illinois","2018","7.3","",
"17","Illinois","2019","7.7","",
"17","Illinois","2020","6.6","",
"18","Indiana","2011","7.5","",
"18","Indiana","2012","7.6","",
"18","Indiana","2013","7.7","",
"18","Indiana","2014","7.7","",
"18","Indiana","2015","8.8","",
"18","Indiana","2017","8.3","",
"18","Indiana","2018","8.2","",
"18","Indiana","2019","8.8","",
"19","Iowa","2011","7.2","",
"19","Iowa","2012","7.2","",
"19","Iowa","2013","5.7","",
"19","Iowa","2014","9.2","",
"19","Iowa","2015","7.2","",
"19","Iowa","2016","7.4","",
"19","Iowa","2017","8.2","",
"19","Iowa","2018","8.4","",
"19","Iowa","2019","7.6","",
"19","Iowa","2020","6.1","",
"21","Kentucky","2011","8.1","",
"21","Kentucky","2012","9.3","",
"21","Kentucky","2013","7.9","",
"21","Kentucky","2014","9.4","",
"21","Kentucky","2015","9.5","",
"21","Kentucky","2016","10.4","",
"21","Kentucky","2017","11.0","",
"21","Kentucky","2018","9.0","",
"21","Kentucky","2019","9.5","",
"21","Kentucky","2020","8.9","",
"22","Louisiana","2011","9.3","",
"22","Louisiana","2012","8.4","",
"22","Louisiana","2013","8.3","",
"22","Louisiana","2014","9.6","",
"22","Louisiana","2015","9.9","",
"22","Louisiana","2016","8.3","",
"22","Louisiana","2017","9.6","",
"22","Louisiana","2018","9.5","",
"22","Louisiana","2019","9.2","",
"22","Louisiana","2020","7.5","",
"23","Maine","2011","7.5","",
"23","Maine","2012","4.3","",
"23","Maine","2013","6.0","",
"23","Maine","2014","6.2","",
"23","Maine","2015","5.7","",
"23","Maine","2016","5.4","",
"23","Maine","2017","6.5","",
"23","Maine","2018","4.5","",
"23","Maine","2019","5.3","",
"23","Maine","2020","7.8","",
"24","Maryland","2011","6.3","",
"24","Maryland","2012","6.5","",
"24","Maryland","2013","6.1","",
"24","Maryland","2014","6.3","",
"24","Maryland","2015","6.8","",
"24","Maryland","2016","6.8","",
"24","Maryland","2017","6.9","",
"24","Maryland","2018","6.4","",
"24","Maryland","2019","6.9","",
"24","Maryland","2020","6.2","",
"25","Massachusetts","2011","5.1","",
"25","Massachusetts","2012","5.0","",
"25","Massachusetts","2013","5.0","",
"25","Massachusetts","2014","5.5","",
"25","Massachusetts","2015","5.3","",
"25","Massachusetts","2016","6.2","",
"25","Massachusetts","2017","5.0","",
"25","Massachusetts","2018","5.6","",
"25","Massachusetts","2019","5.1","",
"25","Massachusetts","2020","4.4","",
"26","Michigan","2011","7.3","",
"26","Michigan","2012","6.5","",
"26","Michigan","2013","6.7","",
"26","Michigan","2014","6.3","",
"26","Michigan","2015","7.6","",
"26","Michigan","2016","7.0","",
"26","Michigan","2017","6.9","",
"26","Michigan","2018","7.3","",
"26","Michigan","2019","6.4","",
"26","Michigan","2020","6.2","",
"27","Minnesota","2011","6.0","",
"27","Minnesota","2012","5.4","",
"27","Minnesota","2013","5.2","",
"27","Minnesota","2014","4.7","",
"27","Minnesota","2015","6.1","",
"27","Minnesota","2016","6.0","",
"27","Minnesota","2017","5.9","",
"27","Minnesota","2018","4.9","",
"27","Minnesota","2019","5.9","",
"27","Minnesota","2020","4.6","",
"28","Mississippi","2011","10.1","",
"28","Mississippi","2012","9.3","",
"28","Mississippi","2013","8.3","",
"28","Mississippi","2014","10.6","",
"28","Mississippi","2015","9.6","",
"28","Mississippi","2016","9.6","",
"28","Mississippi","2017","9.5","",
"28","Mississippi","2018","8.7","",
"28","Mississippi","2019","9.2","",
"28","Mississippi","2020","8.1","",
"29","Missouri","2011","8.1","",
"29","Missouri","2012","9.7","",
"29","Missouri","2013","7.9","",
"29","Missouri","2014","7.9","",
"29","Missouri","2015","8.4","",
"29","Missouri","2016","8.5","",
"29","Missouri","2017","7.8","",
"29","Missouri","2018","8.5","",
"29","Missouri","2019","9.1","",
"29","Missouri","2020","7.4","",
"30","Montana","2011","6.3","",
"30","Montana","2012","7.1","",
"30","Montana","2013","4.4","",
"30","Montana","2014","7.0","",
"30","Montana","2015","8.0","",
"30","Montana","2016","8.6","",
"30","Montana","2017","6.2","",
"30","Montana","2018","5.4","",
"30","Montana","2019","6.8","",
"30","Montana","2020","7.9","",
"31","Nebraska","2011","7.5","",
"31","Nebraska","2012","6.9","",
"31","Nebraska","2013","7.3","",
"31","Nebraska","2014","8.8","",
"31","Nebraska","2015","7.9","",
"31","Nebraska","2016","5.7","",
"31","Nebraska","2017","9.5","",
"31","Nebraska","2018","6.4","",
"31","Nebraska","2019","8.8","",
"31","Nebraska","2020","5.4","",
"32","Nevada","2011","6.0","",
"32","Nevada","2012","7.6","",
"32","Nevada","2013","8.9","",
"32","Nevada","2014","8.2","",
"32","Nevada","2015","9.4","",
"32","Nevada","2016","9.8","",
"32","Nevada","2017","9.5","",
"32","Nevada","2018","7.8","",
"32","Nevada","2019","7.5","",
"33","New Hampshire","2011","4.6","",
"33","New Hampshire","2012","4.7","",
"33","New Hampshire","2013","3.6","",
"33","New Hampshire","2014","5.0","",
"33","New Hampshire","2015","6.3","",
"33","New Hampshire","2016","4.1","",
"33","New Hampshire","2017","4.8","",
"33","New Hampshire","2018","5.4","",
"33","New Hampshire","2019","6.2","",
"33","New Hampshire","2020","3.9","",
"34","New Jersey","2011","7.9","",
"34","New Jersey","2012","7.2","",
"34","New Jersey","2013","7.5","",
"34","New Jersey","2014","7.6","",
"34","New Jersey","2015","8.5","",
"34","New Jersey","2016","7.6","",
"34","New Jersey","2017","7.8","",
"34","New Jersey","2018","8.0","",
"34","New Jersey","2019","6.9","",
"34","New Jersey","2020","6.5","",
"35","New Mexico","2011","8.1","",
"35","New Mexico","2012","6.5","",
"35","New Mexico","2013","7.2","",
"35","New Mexico","2014","8.2","",
"35","New Mexico","2015","8.3","",
"35","New Mexico","2016","10.2","",
"35","New Mexico","2017","6.9","",
"35","New Mexico","2018","9.1","",
"35","New Mexico","2019","8.0","",
"35","New Mexico","2020","7.6","",
"36","New York","2011","7.3","",
"36","New York","2012","7.8","",
"36","New York","2013","8.1","",
"36","New York","2014","7.6","",
"36","New York","2015","7.9","",
"36","New York","2016","7.6","",
"36","New York","2017","8.2","",
"36","New York","2018","7.2","",
"36","New York","2019","7.6","",
"36","New York","2020","6.3","",
"37","North Carolina","2011","7.6","",
"37","North Carolina","2012","7.4","",
"37","North Carolina","2013","6.9","",
"37","North Carolina","2014","7.7","",
"37","North Carolina","2015","7.1","",
"37","North Carolina","2016","7.4","",
"37","North Carolina","2017","6.5","",
"37","North Carolina","2018","7.1","",
"37","North Carolina","2019","6.9","",
"37","North Carolina","2020","6.6","",
"38","North Dakota","2011","5.7","",
"38","North Dakota","2012","6.7","",
"38","North Dakota","2013","Suppressed","Unstable",
"38","North Dakota","2014","5.3","",
"38","North Dakota","2015","Suppressed","",
"38","North Dakota","2016","7.5","",
"38","North Dakota","2017","8.1","",
"38","North Dakota","2018","5.6","",
"38","North Dakota","2019","4.9","",
"38","North Dakota","2020","4.9","",
"39","Ohio","2011","8.2","",
"39","Ohio","2012","6.8","",
"39","Ohio","2013","7.6","",
"39","Ohio","2014","7.8","",
"39","Ohio","2015","8.0","",
"39","Ohio","2016","8.2","",
"39","Ohio","2017","8.1","",
"39","Ohio","2018","7.5","",
"39","Ohio","2019","8.2","",
"39","Ohio","2020","7.3","",
"40","Oklahoma","2011","8.7","",
"40","Oklahoma","2012","8.1","",
"40","Oklahoma","2013","9.8","",
"40","Oklahoma","2014","9.5","",
"40","Oklahoma","2015","8.9","",
"40","Oklahoma","2016","9.2","",
"40","Oklahoma","2017","8.9","",
"40","Oklahoma","2018","11.0","",
"40","Oklahoma","2019","10.6","",
"40","Oklahoma","2020","9.7","",
"41","Oregon","2011","6.5","",
"41","Oregon","2012","6.5","",
"41","Oregon","2013","6.8","",
"41","Oregon","2014","7.4","",
"41","Oregon","2015","7.7","",
"41","Oregon","2016","6.6","",
"41","Oregon","2017","6.8","",
"41","Oregon","2018","6.7","",
"41","Oregon","2019","6.8","",
"41","Oregon","2020","6.1","",
"42","Pennsylvania","2011","8.2","",
"42","Pennsylvania","2012","7.8","",
"42","Pennsylvania","2013","7.1","",
"42","Pennsylvania","2014","6.9","",
"42","Pennsylvania","2015","7.5","",
"42","Pennsylvania","2016","7.8","",
