"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2011","16.2","",
"01","Alabama","2012","16.4","",
"01","Alabama","2013","16.4","",
"01","Alabama","2014","15.9","",
"01","Alabama","2015","16.3","",
"01","Alabama","2016","16.3","",
"01","Alabama","2017","16.2","",
"01","Alabama","2018","14.4","",
"01","Alabama","2019","15.8","",
"01","Alabama","2020","13.0","",
"02","Alaska","2011","19.0","",
"02","Alaska","2012","17.2","",
"02","Alaska","2013","20.1","",
"02","Alaska","2014","15.0","",
"02","Alaska","2015","18.9","",
"02","Alaska","2016","17.6","",
"02","Alaska","2017","17.6","",
"02","Alaska","2018","16.0","",
"02","Alaska","2019","20.7","",
"02","Alaska","2020","17.9","",
"04","Arizona","2011","17.9","",
"04","Arizona","2012","15.4","",
"04","Arizona","2013","16.3","",
"04","Arizona","2014","16.2","",
"04","Arizona","2015","15.8","",
"04","Arizona","2016","16.1","",
"04","Arizona","2017","15.4","",
"04","Arizona","2018","15.8","",
"04","Arizona","2019","14.2","",
"04","Arizona","2020","13.7","",
"05","Arkansas","2011","15.4","",
"05","Arkansas","2012","17.8","",
"05","Arkansas","2013","18.4","",
"05","Arkansas","2014","16.7","",
"05","Arkansas","2015","17.0","",
"05","Arkansas","2016","17.9","",
"05","Arkansas","2017","18.3","",
"05","Arkansas","2018","17.1","",
"05","Arkansas","2019","18.9","",
"05","Arkansas","2020","16.0","",
"06","California","2011","18.7","",
"06","California","2012","18.7","",
"06","California","2013","18.6","",
"06","California","2014","19.4","",
"06","California","2015","18.6","",
"06","California","2016","18.4","",
"06","California","2017","17.9","",
"06","California","2018","17.9","",
"06","California","2019","18.1","",
"06","California","2020","16.8","",
"08","Colorado","2011","18.4","",
"08","Colorado","2012","17.9","",
"08","Colorado","2013","17.2","",
"08","Colorado","2014","16.6","",
"08","Colorado","2015","17.8","",
"08","Colorado","2016","17.3","",
"08","Colorado","2017","17.5","",
"08","Colorado","2018","16.6","",
"08","Colorado","2019","16.7","",
"08","Colorado","2020","15.4","",
"09","Connecticut","2011","21.2","",
"09","Connecticut","2012","22.2","",
"09","Connecticut","2013","20.0","",
"09","Connecticut","2014","21.1","",
"09","Connecticut","2015","22.0","",
"09","Connecticut","2016","22.0","",
"09","Connecticut","2017","21.5","",
"09","Connecticut","2018","19.7","",
"09","Connecticut","2019","20.6","",
"09","Connecticut","2020","19.7","",
"10","Delaware","2011","19.8","",
"10","Delaware","2012","20.9","",
"10","Delaware","2013","23.3","",
"10","Delaware","2014","20.8","",
"10","Delaware","2015","20.2","",
"10","Delaware","2016","20.9","",
"10","Delaware","2017","17.8","",
"10","Delaware","2018","19.2","",
"10","Delaware","2019","17.2","",
"10","Delaware","2020","17.0","",
"11","District of Columbia","2011","16.4","",
"11","District of Columbia","2012","18.2","",
"11","District of Columbia","2013","18.1","",
"11","District of Columbia","2014","16.1","",
"11","District of Columbia","2015","13.6","",
"11","District of Columbia","2016","14.7","",
"11","District of Columbia","2017","14.0","",
"11","District of Columbia","2018","15.9","",
"11","District of Columbia","2019","15.0","",
"11","District of Columbia","2020","14.3","",
"12","Florida","2011","24.9","",
"12","Florida","2012","22.0","",
"12","Florida","2013","26.2","",
"12","Florida","2014","25.0","",
"12","Florida","2015","25.7","",
"12","Florida","2016","23.3","",
"12","Florida","2017","22.0","",
"12","Florida","2018","22.9","",
"12","Florida","2019","20.9","",
"12","Florida","2020","20.7","",
"13","Georgia","2011","18.3","",
"13","Georgia","2012","18.2","",
"13","Georgia","2013","17.4","",
"13","Georgia","2014","18.3","",
"13","Georgia","2015","18.8","",
"13","Georgia","2016","19.0","",
"13","Georgia","2017","17.8","",
"13","Georgia","2018","17.8","",
"13","Georgia","2019","17.1","",
"13","Georgia","2020","16.0","",
"15","Hawaii","2011","17.9","",
"15","Hawaii","2012","18.0","",
"15","Hawaii","2013","17.7","",
"15","Hawaii","2014","18.1","",
"15","Hawaii","2015","15.1","",
"15","Hawaii","2016","14.8","",
"15","Hawaii","2017","17.1","",
"15","Hawaii","2018","15.0","",
"15","Hawaii","2019","14.7","",
"15","Hawaii","2020","13.7","",
"16","Idaho","2011","19.2","",
"16","Idaho","2012","18.0","",
"16","Idaho","2013","17.6","",
"16","Idaho","2014","20.6","",
"16","Idaho","2015","20.5","",
"16","Idaho","2016","21.1","",
"16","Idaho","2017","18.6","",
"16","Idaho","2018","18.3","",
"16","Idaho","2019","19.7","",
"16","Idaho","2020","18.7","",
"17","Illinois","2011","19.7","",
"17","Illinois","2012","19.3","",
"17","Illinois","2013","19.3","",
"17","Illinois","2014","20.0","",
"17","Illinois","2015","20.1","",
"17","Illinois","2016","19.8","",
"17","Illinois","2017","19.6","",
"17","Illinois","2018","18.8","",
"17","Illinois","2019","19.5","",
"17","Illinois","2020","17.4","",
"18","Indiana","2011","19.7","",
"18","Indiana","2012","19.3","",
"18","Indiana","2013","19.0","",
"18","Indiana","2014","18.9","",
"18","Indiana","2015","19.7","",
"18","Indiana","2017","19.4","",
"18","Indiana","2018","18.4","",
"18","Indiana","2019","17.2","",
