"StateFIPS","State","Year","Value","Data Comment",
"01","Alabama","2011","9.3","",
"01","Alabama","2012","8.7","",
"01","Alabama","2013","8.5","",
"01","Alabama","2014","10.1","",
"01","Alabama","2015","10.0","",
"01","Alabama","2016","10.2","",
"01","Alabama","2017","10.0","",
"01","Alabama","2018","9.7","",
"01","Alabama","2019","9.3","",
"01","Alabama","2020","8.6","",
"02","Alaska","2011","10.5","",
"02","Alaska","2012","10.9","",
"02","Alaska","2013","13.4","",
"02","Alaska","2014","14.0","",
"02","Alaska","2015","11.0","",
"02","Alaska","2016","12.6","",
"02","Alaska","2017","13.1","",
"02","Alaska","2018","13.0","",
"02","Alaska","2019","12.7","",
"02","Alaska","2020","7.6","",
"04","Arizona","2011","15.7","",
"04","Arizona","2012","16.4","",
"04","Arizona","2013","15.1","",
"04","Arizona","2014","14.8","",
"04","Arizona","2015","13.9","",
"04","Arizona","2016","13.5","",
"04","Arizona","2017","12.5","",
"04","Arizona","2018","12.3","",
"04","Arizona","2019","12.3","",
"04","Arizona","2020","11.3","",
"05","Arkansas","2011","9.8","",
"05","Arkansas","2012","9.9","",
"05","Arkansas","2013","9.2","",
"05","Arkansas","2014","12.4","",
"05","Arkansas","2015","13.6","",
"05","Arkansas","2016","11.9","",
"05","Arkansas","2017","11.6","",
"05","Arkansas","2018","11.8","",
"05","Arkansas","2019","12.4","",
"05","Arkansas","2020","8.7","",
"06","California","2011","12.3","",
"06","California","2012","13.0","",
"06","California","2013","13.0","",
"06","California","2014","13.4","",
"06","California","2015","13.6","",
"06","California","2016","12.9","",
"06","California","2017","12.8","",
"06","California","2018","13.3","",
"06","California","2019","13.3","",
"06","California","2020","11.0","",
"08","Colorado","2011","16.1","",
"08","Colorado","2012","16.2","",
"08","Colorado","2013","16.8","",
"08","Colorado","2014","14.4","",
"08","Colorado","2015","14.8","",
"08","Colorado","2016","15.1","",
"08","Colorado","2017","14.2","",
"08","Colorado","2018","14.2","",
"08","Colorado","2019","12.9","",
"08","Colorado","2020","12.1","",
"09","Connecticut","2011","19.2","",
"09","Connecticut","2012","19.8","",
"09","Connecticut","2013","21.0","",
"09","Connecticut","2014","20.4","",
"09","Connecticut","2015","18.0","",
"09","Connecticut","2016","17.5","",
"09","Connecticut","2017","17.0","",
"09","Connecticut","2018","15.8","",
"09","Connecticut","2019","16.7","",
"09","Connecticut","2020","14.3","",
"10","Delaware","2011","15.0","",
"10","Delaware","2012","15.2","",
"10","Delaware","2013","16.5","",
"10","Delaware","2014","17.5","",
"10","Delaware","2015","14.3","",
"10","Delaware","2016","19.9","",
"10","Delaware","2017","13.7","",
"10","Delaware","2018","17.1","",
"10","Delaware","2019","15.1","",
"10","Delaware","2020","15.2","",
"11","District of Columbia","2011","14.4","",
"11","District of Columbia","2012","15.7","",
"11","District of Columbia","2013","17.4","",
"11","District of Columbia","2014","14.1","",
"11","District of Columbia","2015","12.6","",
"11","District of Columbia","2016","11.9","",
"11","District of Columbia","2017","12.3","",
"11","District of Columbia","2018","10.0","",
"11","District of Columbia","2019","9.2","",
"11","District of Columbia","2020","6.6","",
"12","Florida","2011","11.6","",
"12","Florida","2012","12.7","",
"12","Florida","2013","12.5","",
"12","Florida","2014","12.8","",
"12","Florida","2015","13.1","",
"12","Florida","2016","13.0","",
"12","Florida","2017","12.5","",
"12","Florida","2018","12.5","",
"12","Florida","2019","12.9","",
"12","Florida","2020","11.6","",
"13","Georgia","2011","11.5","",
"13","Georgia","2012","11.3","",
"13","Georgia","2013","12.2","",
"13","Georgia","2014","12.6","",
"13","Georgia","2015","12.6","",
"13","Georgia","2016","12.2","",
"13","Georgia","2017","11.9","",
"13","Georgia","2018","11.9","",
"13","Georgia","2019","11.5","",
"13","Georgia","2020","10.6","",
"15","Hawaii","2011","16.2","",
"15","Hawaii","2012","17.1","",
"15","Hawaii","2013","15.3","",
"15","Hawaii","2014","13.5","",
"15","Hawaii","2015","14.9","",
"15","Hawaii","2016","14.9","",
"15","Hawaii","2017","14.4","",
"15","Hawaii","2018","12.4","",
"15","Hawaii","2019","14.3","",
"15","Hawaii","2020","10.8","",
"16","Idaho","2011","15.8","",
"16","Idaho","2012","17.1","",
"16","Idaho","2013","15.0","",
"16","Idaho","2014","16.0","",
"16","Idaho","2015","15.9","",
"16","Idaho","2016","16.3","",
"16","Idaho","2017","12.6","",
"16","Idaho","2018","13.5","",
"16","Idaho","2019","13.2","",
"16","Idaho","2020","13.7","",
"17","Illinois","2011","14.1","",
"17","Illinois","2012","15.4","",
"17","Illinois","2013","15.8","",
"17","Illinois","2014","15.5","",
"17","Illinois","2015","16.2","",
"17","Illinois","2016","15.0","",
"17","Illinois","2017","13.2","",
"17","Illinois","2018","13.1","",
"17","Illinois","2019","13.8","",
"17","Illinois","2020","11.4","",
"18","Indiana","2011","11.6","",
"18","Indiana","2012","12.4","",
"18","Indiana","2013","12.8","",
"18","Indiana","2014","12.1","",
"18","Indiana","2015","13.4","",
"18","Indiana","2017","12.4","",
"18","Indiana","2018","12.1","",
"18","Indiana","2019","11.2","",
"19","Iowa","2011","13.3","",
"19","Iowa","2012","12.7","",
"19","Iowa","2013","13.7","",
"19","Iowa","2014","15.6","",
"19","Iowa","2015","15.0","",
"19","Iowa","2016","15.8","",
"19","Iowa","2017","13.1","",
"19","Iowa","2018","14.7","",
"19","Iowa","2019","14.6","",
"19","Iowa","2020","12.6","",
"21","Kentucky","2011","14.5","",
"21","Kentucky","2012","15.3","",
"21","Kentucky","2013","14.2","",
"21","Kentucky","2014","15.7","",
"21","Kentucky","2015","17.0","",
"21","Kentucky","2016","16.5","",
"21","Kentucky","2017","16.0","",
"21","Kentucky","2018","13.9","",
"21","Kentucky","2019","14.5","",
"21","Kentucky","2020","12.6","",
"22","Louisiana","2011","13.4","",
"22","Louisiana","2012","13.1","",
"22","Louisiana","2013","13.6","",
"22","Louisiana","2014","14.3","",
"22","Louisiana","2015","14.7","",
"22","Louisiana","2016","14.5","",
"22","Louisiana","2017","14.4","",
"22","Louisiana","2018","15.9","",
"22","Louisiana","2019","14.2","",
"22","Louisiana","2020","10.9","",
"23","Maine","2011","15.4","",
"23","Maine","2012","14.5","",
"23","Maine","2013","16.6","",
"23","Maine","2014","18.3","",
"23","Maine","2015","15.6","",
"23","Maine","2016","15.0","",
"23","Maine","2017","13.9","",
"23","Maine","2018","12.6","",
"23","Maine","2019","16.1","",
"23","Maine","2020","13.3","",
"24","Maryland","2011","14.0","",
"24","Maryland","2012","16.4","",
"24","Maryland","2013","16.2","",
"24","Maryland","2014","14.6","",
"24","Maryland","2015","14.4","",
"24","Maryland","2016","14.1","",
"24","Maryland","2017","12.6","",
"24","Maryland","2018","13.2","",
"24","Maryland","2019","12.6","",
"24","Maryland","2020","10.6","",
"25","Massachusetts","2011","21.0","",
"25","Massachusetts","2012","20.3","",
"25","Massachusetts","2013","18.5","",
"25","Massachusetts","2014","21.6","",
"25","Massachusetts","2015","20.6","",
"25","Massachusetts","2016","19.1","",
"25","Massachusetts","2017","17.5","",
"25","Massachusetts","2018","17.6","",
"25","Massachusetts","2019","16.0","",
"25","Massachusetts","2020","13.4","",
"26","Michigan","2011","13.2","",
"26","Michigan","2012","13.6","",
"26","Michigan","2013","14.3","",
"26","Michigan","2014","13.6","",
"26","Michigan","2015","13.7","",
"26","Michigan","2016","14.0","",
"26","Michigan","2017","11.9","",
"26","Michigan","2018","11.4","",
"26","Michigan","2019","11.9","",
"26","Michigan","2020","10.5","",
"27","Minnesota","2011","12.5","",
"27","Minnesota","2012","13.5","",
"27","Minnesota","2013","13.6","",
"27","Minnesota","2014","13.9","",
"27","Minnesota","2015","13.0","",
"27","Minnesota","2016","12.8","",
"27","Minnesota","2017","12.2","",
"27","Minnesota","2018","12.8","",
"27","Minnesota","2019","12.8","",
"27","Minnesota","2020","11.0","",
"28","Mississippi","2011","11.0","",
"28","Mississippi","2012","10.4","",
"28","Mississippi","2013","11.7","",
"28","Mississippi","2014","10.7","",
"28","Mississippi","2015","11.4","",
"28","Mississippi","2016","10.7","",
"28","Mississippi","2017","9.0","",
"28","Mississippi","2018","9.0","",
"28","Mississippi","2019","7.8","",
"28","Mississippi","2020","7.2","",
"29","Missouri","2011","12.4","",
"29","Missouri","2012","12.2","",
"29","Missouri","2013","11.7","",
"29","Missouri","2014","12.4","",
"29","Missouri","2015","12.2","",
"29","Missouri","2016","12.1","",
"29","Missouri","2017","11.8","",
"29","Missouri","2018","12.0","",
"29","Missouri","2019","11.7","",
"29","Missouri","2020","10.8","",
"30","Montana","2011","15.5","",
"30","Montana","2012","14.4","",
"30","Montana","2013","14.3","",
"30","Montana","2014","13.8","",
"30","Montana","2015","15.0","",
"30","Montana","2016","13.1","",
"30","Montana","2017","14.0","",
"30","Montana","2018","14.4","",
"30","Montana","2019","14.0","",
"30","Montana","2020","12.8","",
"31","Nebraska","2011","13.3","",
"31","Nebraska","2012","14.6","",
"31","Nebraska","2013","14.7","",
"31","Nebraska","2014","13.1","",
"31","Nebraska","2015","15.0","",
"31","Nebraska","2016","15.6","",
"31","Nebraska","2017","16.4","",
"31","Nebraska","2018","17.3","",
"31","Nebraska","2019","15.0","",
"31","Nebraska","2020","15.2","",
"32","Nevada","2011","16.6","",
"32","Nevada","2012","15.2","",
"32","Nevada","2013","16.0","",
"32","Nevada","2014","17.7","",
"32","Nevada","2015","15.6","",
"32","Nevada","2016","13.5","",
"32","Nevada","2017","13.8","",
"32","Nevada","2018","13.8","",
"32","Nevada","2019","11.5","",
"33","New Hampshire","2011","14.6","",
"33","New Hampshire","2012","18.7","",
"33","New Hampshire","2013","16.9","",
"33","New Hampshire","2014","17.0","",
"33","New Hampshire","2015","15.1","",
"33","New Hampshire","2016","15.7","",
"33","New Hampshire","2017","12.9","",
"33","New Hampshire","2018","14.8","",
"33","New Hampshire","2019","12.6","",
"33","New Hampshire","2020","12.3","",
"34","New Jersey","2011","19.1","",
"34","New Jersey","2012","19.4","",
"34","New Jersey","2013","20.3","",
"34","New Jersey","2014","19.5","",
"34","New Jersey","2015","19.2","",
"34","New Jersey","2016","20.1","",
"34","New Jersey","2017","17.9","",
"34","New Jersey","2018","17.8","",
"34","New Jersey","2019","17.8","",
"34","New Jersey","2020","13.8","",
"35","New Mexico","2011","14.2","",
"35","New Mexico","2012","15.2","",
"35","New Mexico","2013","16.1","",
"35","New Mexico","2014","16.7","",
"35","New Mexico","2015","16.7","",
"35","New Mexico","2016","14.7","",
"35","New Mexico","2017","14.9","",
"35","New Mexico","2018","15.3","",
"35","New Mexico","2019","17.0","",
"35","New Mexico","2020","12.6","",
"36","New York","2011","18.9","",
"36","New York","2012","19.4","",
"36","New York","2013","20.8","",
"36","New York","2014","20.6","",
"36","New York","2015","20.7","",
"36","New York","2016","19.5","",
"36","New York","2017","18.6","",
"36","New York","2018","18.3","",
"36","New York","2019","19.8","",
"36","New York","2020","15.6","",
"37","North Carolina","2011","12.6","",
"37","North Carolina","2012","12.9","",
"37","North Carolina","2013","13.4","",
"37","North Carolina","2014","12.7","",
"37","North Carolina","2015","13.2","",
"37","North Carolina","2016","12.4","",
"37","North Carolina","2017","11.1","",
"37","North Carolina","2018","11.5","",
"37","North Carolina","2019","10.8","",
"37","North Carolina","2020","10.2","",
"38","North Dakota","2011","14.2","",
"38","North Dakota","2012","18.4","",
"38","North Dakota","2013","17.6","",
"38","North Dakota","2014","20.6","",
"38","North Dakota","2015","17.1","",
"38","North Dakota","2016","17.0","",
"38","North Dakota","2017","17.0","",
"38","North Dakota","2018","15.6","",
"38","North Dakota","2019","19.7","",
"38","North Dakota","2020","14.0","",
"39","Ohio","2011","14.3","",
"39","Ohio","2012","14.3","",
"39","Ohio","2013","15.3","",
"39","Ohio","2014","15.4","",
"39","Ohio","2015","15.3","",
"39","Ohio","2016","15.7","",
"39","Ohio","2017","15.0","",
"39","Ohio","2018","15.1","",
"39","Ohio","2019","14.9","",
"39","Ohio","2020","13.0","",
"40","Oklahoma","2011","10.1","",
"40","Oklahoma","2012","12.5","",
"40","Oklahoma","2013","13.4","",
"40","Oklahoma","2014","13.1","",
"40","Oklahoma","2015","13.7","",
"40","Oklahoma","2016","12.8","",
"40","Oklahoma","2017","12.6","",
"40","Oklahoma","2018","11.5","",
"40","Oklahoma","2019","12.9","",
"40","Oklahoma","2020","11.8","",
"41","Oregon","2011","13.9","",
"41","Oregon","2012","12.9","",
"41","Oregon","2013","14.6","",
"41","Oregon","2014","13.9","",
"41","Oregon","2015","14.3","",
"41","Oregon","2016","14.0","",
"41","Oregon","2017","12.7","",
"41","Oregon","2018","13.3","",
"41","Oregon","2019","13.0","",
"41","Oregon","2020","10.5","",
"42","Pennsylvania","2011","21.1","",
"42","Pennsylvania","2012","21.0","",
"42","Pennsylvania","2013","21.0","",
"42","Pennsylvania","2014","19.7","",
"42","Pennsylvania","2015","19.6","",
"42","Pennsylvania","2016","20.0","",
"42","Pennsylvania","2017","18.1","",
"42","Pennsylvania","2018","17.1","",
"42","Pennsylvania","2019","17.4","",
"42","Pennsylvania","2020","14.1","",
"44","Rhode Island","2011","18.5","",
"44","Rhode Island","2012","19.2","",
"44","Rhode Island","2013","20.4","",
"44","Rhode Island","2014","18.8","",
