"StateFIPS","State","Year","Value","Data Comment",,"Sex"
"01","Alabama","2011","34.6","",,"Male"
"01","Alabama","2011","8.4","",,"Female"
"01","Alabama","2012","32.3","",,"Male"
"01","Alabama","2012","6.7","",,"Female"
"01","Alabama","2013","35.1","",,"Male"
"01","Alabama","2013","7.9","",,"Female"
"01","Alabama","2014","32.6","",,"Male"
"01","Alabama","2014","7.0","",,"Female"
"01","Alabama","2015","32.2","",,"Male"
"01","Alabama","2015","7.3","",,"Female"
"01","Alabama","2016","31.1","",,"Male"
"01","Alabama","2016","7.6","",,"Female"
"01","Alabama","2017","32.3","",,"Male"
"01","Alabama","2017","7.2","",,"Female"
"01","Alabama","2018","30.0","",,"Male"
"01","Alabama","2018","7.7","",,"Female"
"01","Alabama","2019","29.6","",,"Male"
"01","Alabama","2019","7.2","",,"Female"
"01","Alabama","2020","28.3","",,"Male"
"01","Alabama","2020","6.9","",,"Female"
"02","Alaska","2011","41.5","",,"Male"
"02","Alaska","2011","12.5","",,"Female"
"02","Alaska","2012","30.9","",,"Male"
"02","Alaska","2012","10.1","",,"Female"
"02","Alaska","2013","33.6","",,"Male"
"02","Alaska","2013","10.5","",,"Female"
"02","Alaska","2014","33.6","",,"Male"
"02","Alaska","2014","6.9","",,"Female"
"02","Alaska","2015","40.0","",,"Male"
"02","Alaska","2015","11.2","",,"Female"
"02","Alaska","2016","32.4","",,"Male"
"02","Alaska","2016","9.1","",,"Female"
"02","Alaska","2017","37.2","",,"Male"
"02","Alaska","2017","7.5","",,"Female"
"02","Alaska","2018","32.1","",,"Male"
"02","Alaska","2018","6.1","",,"Female"
"02","Alaska","2019","32.5","",,"Male"
"02","Alaska","2019","5.8","",,"Female"
"02","Alaska","2020","24.1","",,"Male"
"02","Alaska","2020","8.5","",,"Female"
"04","Arizona","2011","35.6","",,"Male"
"04","Arizona","2011","8.2","",,"Female"
"04","Arizona","2012","32.2","",,"Male"
"04","Arizona","2012","8.8","",,"Female"
"04","Arizona","2013","34.4","",,"Male"
"04","Arizona","2013","7.1","",,"Female"
"04","Arizona","2014","33.8","",,"Male"
"04","Arizona","2014","8.1","",,"Female"
"04","Arizona","2015","33.3","",,"Male"
"04","Arizona","2015","7.8","",,"Female"
"04","Arizona","2016","32.3","",,"Male"
"04","Arizona","2016","7.9","",,"Female"
"04","Arizona","2017","30.6","",,"Male"
"04","Arizona","2017","7.7","",,"Female"
"04","Arizona","2018","30.8","",,"Male"
"04","Arizona","2018","7.0","",,"Female"
"04","Arizona","2019","29.3","",,"Male"
"04","Arizona","2019","7.6","",,"Female"
"04","Arizona","2020","27.4","",,"Male"
"04","Arizona","2020","6.0","",,"Female"
"05","Arkansas","2011","32.2","",,"Male"
"05","Arkansas","2011","7.1","",,"Female"
"05","Arkansas","2012","32.3","",,"Male"
"05","Arkansas","2012","6.7","",,"Female"
"05","Arkansas","2013","34.4","",,"Male"
"05","Arkansas","2013","6.9","",,"Female"
"05","Arkansas","2014","31.2","",,"Male"
"05","Arkansas","2014","8.0","",,"Female"
"05","Arkansas","2015","29.2","",,"Male"
"05","Arkansas","2015","8.1","",,"Female"
"05","Arkansas","2016","33.5","",,"Male"
"05","Arkansas","2016","8.1","",,"Female"
"05","Arkansas","2017","33.7","",,"Male"
"05","Arkansas","2017","8.8","",,"Female"
"05","Arkansas","2018","32.4","",,"Male"
"05","Arkansas","2018","7.1","",,"Female"
"05","Arkansas","2019","30.2","",,"Male"
"05","Arkansas","2019","8.0","",,"Female"
"05","Arkansas","2020","31.6","",,"Male"
"05","Arkansas","2020","6.1","",,"Female"
"06","California","2011","32.1","",,"Male"
"06","California","2011","7.7","",,"Female"
"06","California","2012","32.0","",,"Male"
"06","California","2012","7.4","",,"Female"
"06","California","2013","30.8","",,"Male"
"06","California","2013","7.1","",,"Female"
"06","California","2014","30.5","",,"Male"
"06","California","2014","7.1","",,"Female"
"06","California","2015","29.5","",,"Male"
"06","California","2015","6.8","",,"Female"
"06","California","2016","29.2","",,"Male"
"06","California","2016","7.1","",,"Female"
"06","California","2017","28.1","",,"Male"
"06","California","2017","6.4","",,"Female"
"06","California","2018","26.6","",,"Male"
"06","California","2018","6.6","",,"Female"
"06","California","2019","27.0","",,"Male"
"06","California","2019","6.3","",,"Female"
"06","California","2020","25.5","",,"Male"
"06","California","2020","5.7","",,"Female"
"08","Colorado","2011","33.0","",,"Male"
"08","Colorado","2011","8.1","",,"Female"
"08","Colorado","2012","33.2","",,"Male"
"08","Colorado","2012","8.6","",,"Female"
"08","Colorado","2013","34.5","",,"Male"
"08","Colorado","2013","8.3","",,"Female"
"08","Colorado","2014","32.2","",,"Male"
"08","Colorado","2014","7.9","",,"Female"
"08","Colorado","2015","31.2","",,"Male"
"08","Colorado","2015","7.5","",,"Female"
"08","Colorado","2016","32.7","",,"Male"
"08","Colorado","2016","7.9","",,"Female"
"08","Colorado","2017","30.4","",,"Male"
"08","Colorado","2017","7.6","",,"Female"
"08","Colorado","2018","29.6","",,"Male"
"08","Colorado","2018","7.4","",,"Female"
"08","Colorado","2019","31.1","",,"Male"
"08","Colorado","2019","8.0","",,"Female"
"08","Colorado","2020","29.1","",,"Male"
"08","Colorado","2020","7.0","",,"Female"
"09","Connecticut","2011","48.3","",,"Male"
"09","Connecticut","2011","12.2","",,"Female"
"09","Connecticut","2012","47.8","",,"Male"
"09","Connecticut","2012","12.6","",,"Female"
"09","Connecticut","2013","48.7","",,"Male"
