"StateFIPS","State","Year","Value","Data Comment",,"Sex"
"01","Alabama","2011","52.26","",,"Male"
"01","Alabama","2011","34.21","",,"Female"
"01","Alabama","2012","51.82","",,"Male"
"01","Alabama","2012","38.20","",,"Female"
"01","Alabama","2013","52.72","",,"Male"
"01","Alabama","2013","37.61","",,"Female"
"01","Alabama","2014","52.78","",,"Male"
"01","Alabama","2014","37.93","",,"Female"
"01","Alabama","2015","49.34","",,"Male"
"01","Alabama","2015","37.93","",,"Female"
"01","Alabama","2016","48.43","",,"Male"
"01","Alabama","2016","40.21","",,"Female"
"01","Alabama","2017","49.88","",,"Male"
"01","Alabama","2017","36.48","",,"Female"
"01","Alabama","2018","47.16","",,"Male"
"01","Alabama","2018","35.68","",,"Female"
"01","Alabama","2019","49.03","",,"Male"
"01","Alabama","2019","35.89","",,"Female"
"01","Alabama","2020","42.39","",,"Male"
"01","Alabama","2020","33.58","",,"Female"
"02","Alaska","2011","49.68","",,"Male"
"02","Alaska","2011","34.71","",,"Female"
"02","Alaska","2012","43.86","",,"Male"
"02","Alaska","2012","39.58","",,"Female"
"02","Alaska","2013","45.09","",,"Male"
"02","Alaska","2013","45.57","",,"Female"
"02","Alaska","2014","49.12","",,"Male"
"02","Alaska","2014","40.13","",,"Female"
"02","Alaska","2015","48.18","",,"Male"
"02","Alaska","2015","37.80","",,"Female"
"02","Alaska","2016","36.60","",,"Male"
"02","Alaska","2016","42.73","",,"Female"
"02","Alaska","2017","49.68","",,"Male"
"02","Alaska","2017","38.67","",,"Female"
"02","Alaska","2018","45.50","",,"Male"
"02","Alaska","2018","38.17","",,"Female"
"02","Alaska","2019","44.56","",,"Male"
"02","Alaska","2019","37.16","",,"Female"
"02","Alaska","2020","44.33","",,"Male"
"02","Alaska","2020","37.69","",,"Female"
"04","Arizona","2011","40.90","",,"Male"
"04","Arizona","2011","30.42","",,"Female"
"04","Arizona","2012","41.03","",,"Male"
"04","Arizona","2012","30.49","",,"Female"
"04","Arizona","2013","39.33","",,"Male"
"04","Arizona","2013","28.56","",,"Female"
"04","Arizona","2014","40.45","",,"Male"
"04","Arizona","2014","29.84","",,"Female"
"04","Arizona","2015","37.58","",,"Male"
"04","Arizona","2015","29.28","",,"Female"
"04","Arizona","2016","36.22","",,"Male"
"04","Arizona","2016","27.65","",,"Female"
"04","Arizona","2017","37.05","",,"Male"
"04","Arizona","2017","27.98","",,"Female"
"04","Arizona","2018","38.36","",,"Male"
"04","Arizona","2018","28.25","",,"Female"
"04","Arizona","2019","35.74","",,"Male"
"04","Arizona","2019","27.18","",,"Female"
"04","Arizona","2020","31.80","",,"Male"
"04","Arizona","2020","26.43","",,"Female"
"05","Arkansas","2011","44.96","",,"Male"
"05","Arkansas","2011","37.93","",,"Female"
"05","Arkansas","2012","46.33","",,"Male"
"05","Arkansas","2012","36.44","",,"Female"
"05","Arkansas","2013","49.18","",,"Male"
"05","Arkansas","2013","36.80","",,"Female"
"05","Arkansas","2014","50.25","",,"Male"
"05","Arkansas","2014","37.72","",,"Female"
"05","Arkansas","2015","50.43","",,"Male"
"05","Arkansas","2015","38.80","",,"Female"
"05","Arkansas","2016","44.47","",,"Male"
"05","Arkansas","2016","38.91","",,"Female"
"05","Arkansas","2017","48.34","",,"Male"
"05","Arkansas","2017","36.79","",,"Female"
"05","Arkansas","2018","46.98","",,"Male"
"05","Arkansas","2018","36.65","",,"Female"
"05","Arkansas","2019","52.90","",,"Male"
"05","Arkansas","2019","38.74","",,"Female"
"05","Arkansas","2020","41.41","",,"Male"
"05","Arkansas","2020","31.81","",,"Female"
"06","California","2011","44.02","",,"Male"
"06","California","2011","33.51","",,"Female"
"06","California","2012","42.13","",,"Male"
"06","California","2012","32.71","",,"Female"
"06","California","2013","40.57","",,"Male"
"06","California","2013","31.80","",,"Female"
"06","California","2014","42.39","",,"Male"
"06","California","2014","31.50","",,"Female"
"06","California","2015","40.90","",,"Male"
"06","California","2015","31.41","",,"Female"
"06","California","2016","39.00","",,"Male"
"06","California","2016","31.27","",,"Female"
"06","California","2017","38.57","",,"Male"
"06","California","2017","30.39","",,"Female"
"06","California","2018","39.08","",,"Male"
"06","California","2018","29.83","",,"Female"
"06","California","2019","39.13","",,"Male"
"06","California","2019","30.32","",,"Female"
"06","California","2020","33.79","",,"Male"
"06","California","2020","27.29","",,"Female"
"08","Colorado","2011","39.51","",,"Male"
"08","Colorado","2011","31.24","",,"Female"
"08","Colorado","2012","38.05","",,"Male"
"08","Colorado","2012","30.87","",,"Female"
"08","Colorado","2013","38.63","",,"Male"
"08","Colorado","2013","31.20","",,"Female"
"08","Colorado","2014","36.33","",,"Male"
"08","Colorado","2014","30.54","",,"Female"
"08","Colorado","2015","38.92","",,"Male"
"08","Colorado","2015","29.80","",,"Female"
"08","Colorado","2016","35.57","",,"Male"
"08","Colorado","2016","30.09","",,"Female"
"08","Colorado","2017","36.94","",,"Male"
"08","Colorado","2017","28.90","",,"Female"
"08","Colorado","2018","35.20","",,"Male"
"08","Colorado","2018","28.09","",,"Female"
"08","Colorado","2019","35.03","",,"Male"
"08","Colorado","2019","28.16","",,"Female"
"08","Colorado","2020","31.44","",,"Male"
"08","Colorado","2020","24.84","",,"Female"
"09","Connecticut","2011","46.30","",,"Male"
"09","Connecticut","2011","34.15","",,"Female"
"09","Connecticut","2012","46.07","",,"Male"
