"StateFIPS","State","Year","Value","Data Comment",,"Sex"
"01","Alabama","2011","16.0","",,"Male"
"01","Alabama","2011","10.0","",,"Female"
"01","Alabama","2012","16.4","",,"Male"
"01","Alabama","2012","9.8","",,"Female"
"01","Alabama","2013","15.7","",,"Male"
"01","Alabama","2013","9.5","",,"Female"
"01","Alabama","2014","16.2","",,"Male"
"01","Alabama","2014","10.0","",,"Female"
"01","Alabama","2015","16.0","",,"Male"
"01","Alabama","2015","9.8","",,"Female"
"01","Alabama","2016","16.0","",,"Male"
"01","Alabama","2016","10.2","",,"Female"
"01","Alabama","2017","15.8","",,"Male"
"01","Alabama","2017","10.0","",,"Female"
"01","Alabama","2018","17.1","",,"Male"
"01","Alabama","2018","11.4","",,"Female"
"01","Alabama","2019","15.7","",,"Male"
"01","Alabama","2019","9.9","",,"Female"
"01","Alabama","2020","12.6","",,"Male"
"01","Alabama","2020","8.4","",,"Female"
"02","Alaska","2011","20.0","",,"Male"
"02","Alaska","2011","9.2","",,"Female"
"02","Alaska","2012","12.4","",,"Male"
"02","Alaska","2012","8.4","",,"Female"
"02","Alaska","2013","12.1","",,"Male"
"02","Alaska","2013","11.5","",,"Female"
"02","Alaska","2014","14.8","",,"Male"
"02","Alaska","2014","10.6","",,"Female"
"02","Alaska","2015","15.5","",,"Male"
"02","Alaska","2015","8.6","",,"Female"
"02","Alaska","2016","17.9","",,"Male"
"02","Alaska","2016","8.2","",,"Female"
"02","Alaska","2017","16.7","",,"Male"
"02","Alaska","2017","8.3","",,"Female"
"02","Alaska","2018","13.9","",,"Male"
"02","Alaska","2018","9.4","",,"Female"
"02","Alaska","2019","15.9","",,"Male"
"02","Alaska","2019","11.0","",,"Female"
"02","Alaska","2020","15.5","",,"Male"
"02","Alaska","2020","8.6","",,"Female"
"04","Arizona","2011","17.4","",,"Male"
"04","Arizona","2011","9.8","",,"Female"
"04","Arizona","2012","16.3","",,"Male"
"04","Arizona","2012","10.9","",,"Female"
"04","Arizona","2013","15.6","",,"Male"
"04","Arizona","2013","9.4","",,"Female"
"04","Arizona","2014","15.1","",,"Male"
"04","Arizona","2014","8.7","",,"Female"
"04","Arizona","2015","16.2","",,"Male"
"04","Arizona","2015","10.2","",,"Female"
"04","Arizona","2016","14.0","",,"Male"
"04","Arizona","2016","9.1","",,"Female"
"04","Arizona","2017","13.5","",,"Male"
"04","Arizona","2017","8.9","",,"Female"
"04","Arizona","2018","14.6","",,"Male"
"04","Arizona","2018","9.1","",,"Female"
"04","Arizona","2019","14.0","",,"Male"
"04","Arizona","2019","9.5","",,"Female"
"04","Arizona","2020","13.6","",,"Male"
"04","Arizona","2020","8.5","",,"Female"
"05","Arkansas","2011","11.8","",,"Male"
"05","Arkansas","2011","8.5","",,"Female"
"05","Arkansas","2012","15.5","",,"Male"
"05","Arkansas","2012","9.8","",,"Female"
"05","Arkansas","2013","16.3","",,"Male"
"05","Arkansas","2013","11.2","",,"Female"
"05","Arkansas","2014","17.8","",,"Male"
"05","Arkansas","2014","10.2","",,"Female"
"05","Arkansas","2015","16.9","",,"Male"
"05","Arkansas","2015","12.2","",,"Female"
"05","Arkansas","2016","18.4","",,"Male"
"05","Arkansas","2016","11.3","",,"Female"
"05","Arkansas","2017","17.1","",,"Male"
"05","Arkansas","2017","12.4","",,"Female"
"05","Arkansas","2018","16.9","",,"Male"
"05","Arkansas","2018","12.3","",,"Female"
"05","Arkansas","2019","19.0","",,"Male"
"05","Arkansas","2019","10.9","",,"Female"
"05","Arkansas","2020","13.1","",,"Male"
"05","Arkansas","2020","9.9","",,"Female"
"06","California","2011","16.5","",,"Male"
"06","California","2011","10.6","",,"Female"
"06","California","2012","17.7","",,"Male"
"06","California","2012","10.1","",,"Female"
"06","California","2013","17.3","",,"Male"
"06","California","2013","10.3","",,"Female"
"06","California","2014","17.0","",,"Male"
"06","California","2014","10.3","",,"Female"
"06","California","2015","16.3","",,"Male"
"06","California","2015","10.3","",,"Female"
"06","California","2016","16.5","",,"Male"
"06","California","2016","9.9","",,"Female"
"06","California","2017","15.7","",,"Male"
"06","California","2017","9.6","",,"Female"
"06","California","2018","15.6","",,"Male"
"06","California","2018","9.5","",,"Female"
"06","California","2019","15.9","",,"Male"
"06","California","2019","9.6","",,"Female"
"06","California","2020","13.9","",,"Male"
"06","California","2020","9.3","",,"Female"
"08","Colorado","2011","19.4","",,"Male"
"08","Colorado","2011","11.5","",,"Female"
"08","Colorado","2012","17.9","",,"Male"
"08","Colorado","2012","11.1","",,"Female"
"08","Colorado","2013","18.8","",,"Male"
"08","Colorado","2013","10.1","",,"Female"
"08","Colorado","2014","18.3","",,"Male"
"08","Colorado","2014","11.0","",,"Female"
"08","Colorado","2015","17.3","",,"Male"
"08","Colorado","2015","10.3","",,"Female"
"08","Colorado","2016","16.7","",,"Male"
"08","Colorado","2016","10.7","",,"Female"
"08","Colorado","2017","16.1","",,"Male"
"08","Colorado","2017","9.8","",,"Female"
"08","Colorado","2018","16.4","",,"Male"
"08","Colorado","2018","9.7","",,"Female"
"08","Colorado","2019","15.4","",,"Male"
"08","Colorado","2019","9.8","",,"Female"
"08","Colorado","2020","14.7","",,"Male"
"08","Colorado","2020","9.0","",,"Female"
"09","Connecticut","2011","22.6","",,"Male"
"09","Connecticut","2011","12.5","",,"Female"
"09","Connecticut","2012","20.9","",,"Male"
"09","Connecticut","2012","12.4","",,"Female"
"09","Connecticut","2013","19.1","",,"Male"
"09","Connecticut","2013","13.1","",,"Female"
"09","Connecticut","2014","18.4","",,"Male"
"09","Connecticut","2014","12.3","",,"Female"
"09","Connecticut","2015","16.7","",,"Male"
"09","Connecticut","2015","10.4","",,"Female"
"09","Connecticut","2016","17.6","",,"Male"
"09","Connecticut","2016","11.2","",,"Female"
"09","Connecticut","2017","19.5","",,"Male"
"09","Connecticut","2017","14.2","",,"Female"
"09","Connecticut","2018","18.7","",,"Male"
"09","Connecticut","2018","10.7","",,"Female"
"09","Connecticut","2019","18.3","",,"Male"
"09","Connecticut","2019","10.9","",,"Female"
"09","Connecticut","2020","17.4","",,"Male"
"09","Connecticut","2020","11.0","",,"Female"
"10","Delaware","2011","17.7","",,"Male"
"10","Delaware","2011","12.4","",,"Female"
"10","Delaware","2012","25.6","",,"Male"
"10","Delaware","2012","12.9","",,"Female"
"10","Delaware","2013","18.8","",,"Male"
"10","Delaware","2013","8.8","",,"Female"
"10","Delaware","2014","19.9","",,"Male"
"10","Delaware","2014","10.9","",,"Female"
"10","Delaware","2015","18.8","",,"Male"
"10","Delaware","2015","9.4","",,"Female"
"10","Delaware","2016","17.7","",,"Male"
"10","Delaware","2016","9.2","",,"Female"
"10","Delaware","2017","15.4","",,"Male"
"10","Delaware","2017","11.2","",,"Female"
"10","Delaware","2018","17.8","",,"Male"
"10","Delaware","2018","7.6","",,"Female"
"10","Delaware","2019","19.6","",,"Male"
"10","Delaware","2019","9.8","",,"Female"
"10","Delaware","2020","16.6","",,"Male"
"10","Delaware","2020","11.0","",,"Female"
"11","District of Columbia","2011","18.2","",,"Male"
"11","District of Columbia","2011","10.7","",,"Female"
"11","District of Columbia","2012","12.6","",,"Male"
"11","District of Columbia","2012","12.4","",,"Female"
"11","District of Columbia","2013","11.7","",,"Male"
"11","District of Columbia","2013","5.2","",,"Female"
"11","District of Columbia","2014","9.9","",,"Male"
"11","District of Columbia","2014","6.3","",,"Female"
"11","District of Columbia","2015","10.7","",,"Male"
"11","District of Columbia","2015","7.6","",,"Female"
"11","District of Columbia","2016","10.8","",,"Male"
"11","District of Columbia","2016","4.7","",,"Female"
"11","District of Columbia","2017","13.4","",,"Male"
"11","District of Columbia","2017","7.5","",,"Female"
"11","District of Columbia","2018","15.5","",,"Male"
"11","District of Columbia","2018","6.1","",,"Female"
"11","District of Columbia","2019","14.3","",,"Male"
"11","District of Columbia","2019","9.3","",,"Female"
"11","District of Columbia","2020","10.2","",,"Male"
"11","District of Columbia","2020","8.2","",,"Female"
"12","Florida","2011","23.3","",,"Male"
"12","Florida","2011","14.4","",,"Female"
"12","Florida","2012","22.0","",,"Male"
"12","Florida","2012","14.4","",,"Female"
"12","Florida","2013","25.1","",,"Male"
"12","Florida","2013","16.1","",,"Female"
"12","Florida","2014","25.2","",,"Male"
"12","Florida","2014","15.8","",,"Female"
"12","Florida","2015","26.1","",,"Male"
"12","Florida","2015","16.6","",,"Female"
"12","Florida","2016","23.9","",,"Male"
"12","Florida","2016","15.2","",,"Female"
"12","Florida","2017","21.6","",,"Male"
"12","Florida","2017","14.3","",,"Female"
"12","Florida","2018","22.5","",,"Male"
"12","Florida","2018","14.9","",,"Female"
"12","Florida","2019","20.1","",,"Male"
"12","Florida","2019","12.6","",,"Female"
"12","Florida","2020","20.5","",,"Male"
"12","Florida","2020","13.5","",,"Female"
"13","Georgia","2011","17.6","",,"Male"
"13","Georgia","2011","11.3","",,"Female"
"13","Georgia","2012","18.7","",,"Male"
"13","Georgia","2012","11.5","",,"Female"
"13","Georgia","2013","19.9","",,"Male"
"13","Georgia","2013","12.1","",,"Female"
"13","Georgia","2014","21.2","",,"Male"
"13","Georgia","2014","12.1","",,"Female"
"13","Georgia","2015","18.2","",,"Male"
"13","Georgia","2015","12.2","",,"Female"
"13","Georgia","2016","18.8","",,"Male"
"13","Georgia","2016","11.2","",,"Female"
"13","Georgia","2017","18.8","",,"Male"
"13","Georgia","2017","11.9","",,"Female"
"13","Georgia","2018","18.8","",,"Male"
"13","Georgia","2018","11.4","",,"Female"
"13","Georgia","2019","18.9","",,"Male"
"13","Georgia","2019","11.8","",,"Female"
"13","Georgia","2020","17.2","",,"Male"
"13","Georgia","2020","10.7","",,"Female"
"15","Hawaii","2011","16.6","",,"Male"
"15","Hawaii","2011","11.4","",,"Female"
"15","Hawaii","2012","14.2","",,"Male"
"15","Hawaii","2012","8.6","",,"Female"
"15","Hawaii","2013","13.4","",,"Male"
"15","Hawaii","2013","9.8","",,"Female"
"15","Hawaii","2014","15.0","",,"Male"
"15","Hawaii","2014","9.1","",,"Female"
"15","Hawaii","2015","13.1","",,"Male"
"15","Hawaii","2015","7.4","",,"Female"
"15","Hawaii","2016","13.7","",,"Male"
"15","Hawaii","2016","7.9","",,"Female"
"15","Hawaii","2017","14.1","",,"Male"
"15","Hawaii","2017","8.5","",,"Female"
"15","Hawaii","2018","12.4","",,"Male"
"15","Hawaii","2018","7.7","",,"Female"
"15","Hawaii","2019","13.4","",,"Male"
"15","Hawaii","2019","7.8","",,"Female"
"15","Hawaii","2020","13.0","",,"Male"
"15","Hawaii","2020","8.6","",,"Female"
"16","Idaho","2011","18.7","",,"Male"
"16","Idaho","2011","13.2","",,"Female"
"16","Idaho","2012","18.4","",,"Male"
"16","Idaho","2012","12.5","",,"Female"
"16","Idaho","2013","22.2","",,"Male"
"16","Idaho","2013","15.2","",,"Female"
"16","Idaho","2014","19.2","",,"Male"
"16","Idaho","2014","12.9","",,"Female"
"16","Idaho","2015","22.6","",,"Male"
"16","Idaho","2015","14.5","",,"Female"
"16","Idaho","2016","20.2","",,"Male"
"16","Idaho","2016","11.0","",,"Female"
"16","Idaho","2017","21.6","",,"Male"
"16","Idaho","2017","13.0","",,"Female"
"16","Idaho","2018","21.3","",,"Male"
"16","Idaho","2018","13.3","",,"Female"
"16","Idaho","2019","21.4","",,"Male"
"16","Idaho","2019","12.6","",,"Female"
"16","Idaho","2020","20.9","",,"Male"
"16","Idaho","2020","13.5","",,"Female"
"17","Illinois","2011","18.4","",,"Male"
"17","Illinois","2011","11.4","",,"Female"
"17","Illinois","2012","19.0","",,"Male"
"17","Illinois","2012","11.2","",,"Female"
"17","Illinois","2013","18.1","",,"Male"
"17","Illinois","2013","11.2","",,"Female"
"17","Illinois","2014","18.0","",,"Male"
"17","Illinois","2014","10.7","",,"Female"
"17","Illinois","2015","18.2","",,"Male"
"17","Illinois","2015","10.8","",,"Female"
"17","Illinois","2016","17.4","",,"Male"
"17","Illinois","2016","10.7","",,"Female"
"17","Illinois","2017","18.4","",,"Male"
"17","Illinois","2017","11.6","",,"Female"
"17","Illinois","2018","18.1","",,"Male"
"17","Illinois","2018","10.6","",,"Female"
"17","Illinois","2019","18.0","",,"Male"
"17","Illinois","2019","10.4","",,"Female"
"17","Illinois","2020","16.4","",,"Male"
"17","Illinois","2020","10.3","",,"Female"
"18","Indiana","2011","19.0","",,"Male"
"18","Indiana","2011","11.7","",,"Female"
"18","Indiana","2012","20.7","",,"Male"
"18","Indiana","2012","11.9","",,"Female"
"18","Indiana","2013","18.0","",,"Male"
"18","Indiana","2013","11.8","",,"Female"
"18","Indiana","2014","17.9","",,"Male"
"18","Indiana","2014","11.0","",,"Female"
"18","Indiana","2015","20.3","",,"Male"
"18","Indiana","2015","10.8","",,"Female"
"18","Indiana","2017","18.8","",,"Male"
"18","Indiana","2017","10.9","",,"Female"
"18","Indiana","2018","17.1","",,"Male"
"18","Indiana","2018","10.4","",,"Female"
"18","Indiana","2019","16.3","",,"Male"
"18","Indiana","2019","9.5","",,"Female"
"19","Iowa","2011","23.1","",,"Male"
"19","Iowa","2011","13.3","",,"Female"
"19","Iowa","2012","20.6","",,"Male"
"19","Iowa","2012","13.4","",,"Female"
"19","Iowa","2013","22.2","",,"Male"
"19","Iowa","2013","13.7","",,"Female"
"19","Iowa","2014","23.7","",,"Male"
"19","Iowa","2014","11.9","",,"Female"
"19","Iowa","2015","23.1","",,"Male"
"19","Iowa","2015","12.6","",,"Female"
"19","Iowa","2016","24.6","",,"Male"
"19","Iowa","2016","14.0","",,"Female"
"19","Iowa","2017","21.5","",,"Male"
"19","Iowa","2017","12.9","",,"Female"
"19","Iowa","2018","23.3","",,"Male"
"19","Iowa","2018","12.4","",,"Female"
"19","Iowa","2019","22.6","",,"Male"
"19","Iowa","2019","12.3","",,"Female"
"19","Iowa","2020","18.2","",,"Male"
"19","Iowa","2020","11.3","",,"Female"
"21","Kentucky","2011","24.3","",,"Male"
"21","Kentucky","2011","13.3","",,"Female"
"21","Kentucky","2012","20.8","",,"Male"
"21","Kentucky","2012","13.2","",,"Female"
