"StateFIPS","State","Year","Value","Data Comment",,"Sex"
"01","Alabama","2011","19.7","",,"Male"
"01","Alabama","2011","13.5","",,"Female"
"01","Alabama","2012","19.6","",,"Male"
"01","Alabama","2012","13.9","",,"Female"
"01","Alabama","2013","19.6","",,"Male"
"01","Alabama","2013","14.0","",,"Female"
"01","Alabama","2014","18.9","",,"Male"
"01","Alabama","2014","13.6","",,"Female"
"01","Alabama","2015","20.6","",,"Male"
"01","Alabama","2015","12.9","",,"Female"
"01","Alabama","2016","19.3","",,"Male"
"01","Alabama","2016","13.9","",,"Female"
"01","Alabama","2017","20.6","",,"Male"
"01","Alabama","2017","12.7","",,"Female"
"01","Alabama","2018","17.9","",,"Male"
"01","Alabama","2018","11.8","",,"Female"
"01","Alabama","2019","19.8","",,"Male"
"01","Alabama","2019","12.8","",,"Female"
"01","Alabama","2020","16.3","",,"Male"
"01","Alabama","2020","10.3","",,"Female"
"02","Alaska","2011","23.4","",,"Male"
"02","Alaska","2011","14.7","",,"Female"
"02","Alaska","2012","20.7","",,"Male"
"02","Alaska","2012","14.0","",,"Female"
"02","Alaska","2013","26.5","",,"Male"
"02","Alaska","2013","14.5","",,"Female"
"02","Alaska","2014","17.2","",,"Male"
"02","Alaska","2014","12.9","",,"Female"
"02","Alaska","2015","22.4","",,"Male"
"02","Alaska","2015","15.2","",,"Female"
"02","Alaska","2016","22.3","",,"Male"
"02","Alaska","2016","13.2","",,"Female"
"02","Alaska","2017","21.4","",,"Male"
"02","Alaska","2017","14.3","",,"Female"
"02","Alaska","2018","18.9","",,"Male"
"02","Alaska","2018","13.1","",,"Female"
"02","Alaska","2019","22.4","",,"Male"
"02","Alaska","2019","18.9","",,"Female"
"02","Alaska","2020","21.2","",,"Male"
"02","Alaska","2020","14.7","",,"Female"
"04","Arizona","2011","20.7","",,"Male"
"04","Arizona","2011","15.4","",,"Female"
"04","Arizona","2012","18.3","",,"Male"
"04","Arizona","2012","12.9","",,"Female"
"04","Arizona","2013","19.3","",,"Male"
"04","Arizona","2013","13.6","",,"Female"
"04","Arizona","2014","18.7","",,"Male"
"04","Arizona","2014","14.0","",,"Female"
"04","Arizona","2015","18.8","",,"Male"
"04","Arizona","2015","13.0","",,"Female"
"04","Arizona","2016","19.6","",,"Male"
