"StateFIPS","State","Year","Value","Data Comment",,"Sex"
"01","Alabama","2011","5.4","",,"Male"
"01","Alabama","2011","3.0","",,"Female"
"01","Alabama","2012","5.1","",,"Male"
"01","Alabama","2012","3.3","",,"Female"
"01","Alabama","2013","4.4","",,"Male"
"01","Alabama","2013","3.0","",,"Female"
"01","Alabama","2014","5.2","",,"Male"
"01","Alabama","2014","3.3","",,"Female"
"01","Alabama","2015","4.7","",,"Male"
"01","Alabama","2015","3.1","",,"Female"
"01","Alabama","2016","4.1","",,"Male"
"01","Alabama","2016","3.3","",,"Female"
"01","Alabama","2017","4.2","",,"Male"
"01","Alabama","2017","3.3","",,"Female"
"01","Alabama","2018","4.3","",,"Male"
"01","Alabama","2018","3.2","",,"Female"
"01","Alabama","2019","4.3","",,"Male"
"01","Alabama","2019","2.7","",,"Female"
"01","Alabama","2020","4.3","",,"Male"
"01","Alabama","2020","3.1","",,"Female"
"02","Alaska","2011","7.7","",,"Male"
"02","Alaska","2011","Suppressed","Unstable",,"Female"
"02","Alaska","2012","Suppressed","Unstable",,"Male"
"02","Alaska","2012","Suppressed","Unstable",,"Female"
"02","Alaska","2013","Suppressed","Unstable",,"Male"
"02","Alaska","2013","Suppressed","Unstable",,"Female"
"02","Alaska","2014","Suppressed","",,"Male"
"02","Alaska","2014","Suppressed","",,"Female"
"02","Alaska","2015","Suppressed","",,"Male"
"02","Alaska","2015","Suppressed","Unstable",,"Female"
"02","Alaska","2016","5.3","",,"Male"
"02","Alaska","2016","Suppressed","Unstable",,"Female"
"02","Alaska","2017","6.6","",,"Male"
"02","Alaska","2017","Suppressed","Unstable",,"Female"
"02","Alaska","2018","Suppressed","",,"Male"
"02","Alaska","2018","Suppressed","",,"Female"
"02","Alaska","2019","Suppressed","Unstable",,"Male"
"02","Alaska","2019","Suppressed","Unstable",,"Female"
"02","Alaska","2020","Suppressed","",,"Male"
"02","Alaska","2020","Suppressed","Unstable",,"Female"
"04","Arizona","2011","4.8","",,"Male"
"04","Arizona","2011","3.8","",,"Female"
"04","Arizona","2012","5.3","",,"Male"
"04","Arizona","2012","4.1","",,"Female"
"04","Arizona","2013","5.1","",,"Male"
"04","Arizona","2013","2.9","",,"Female"
"04","Arizona","2014","4.5","",,"Male"
"04","Arizona","2014","2.8","",,"Female"
"04","Arizona","2015","4.5","",,"Male"
"04","Arizona","2015","3.4","",,"Female"
"04","Arizona","2016","4.4","",,"Male"
"04","Arizona","2016","2.8","",,"Female"
"04","Arizona","2017","4.3","",,"Male"
"04","Arizona","2017","3.0","",,"Female"
"04","Arizona","2018","4.9","",,"Male"
"04","Arizona","2018","2.6","",,"Female"
"04","Arizona","2019","4.7","",,"Male"
"04","Arizona","2019","3.3","",,"Female"
"04","Arizona","2020","4.3","",,"Male"
"04","Arizona","2020","3.0","",,"Female"
"05","Arkansas","2011","3.7","",,"Male"
"05","Arkansas","2011","3.4","",,"Female"
"05","Arkansas","2012","4.9","",,"Male"
"05","Arkansas","2012","4.1","",,"Female"
"05","Arkansas","2013","4.9","",,"Male"
"05","Arkansas","2013","2.9","",,"Female"
"05","Arkansas","2014","4.6","",,"Male"
"05","Arkansas","2014","3.2","",,"Female"
"05","Arkansas","2015","5.2","",,"Male"
"05","Arkansas","2015","3.7","",,"Female"
"05","Arkansas","2016","4.8","",,"Male"
"05","Arkansas","2016","3.7","",,"Female"
"05","Arkansas","2017","4.7","",,"Male"
"05","Arkansas","2017","3.9","",,"Female"
"05","Arkansas","2018","4.0","",,"Male"
"05","Arkansas","2018","4.1","",,"Female"
"05","Arkansas","2019","5.2","",,"Male"
"05","Arkansas","2019","3.3","",,"Female"
"05","Arkansas","2020","3.9","",,"Male"
"05","Arkansas","2020","3.0","",,"Female"
"06","California","2011","4.8","",,"Male"
"06","California","2011","3.4","",,"Female"
"06","California","2012","5.0","",,"Male"
"06","California","2012","3.4","",,"Female"
"06","California","2013","5.0","",,"Male"
"06","California","2013","3.4","",,"Female"
"06","California","2014","5.0","",,"Male"
"06","California","2014","3.4","",,"Female"
"06","California","2015","4.8","",,"Male"
"06","California","2015","3.2","",,"Female"
"06","California","2016","4.8","",,"Male"
"06","California","2016","3.2","",,"Female"
"06","California","2017","4.6","",,"Male"
"06","California","2017","3.2","",,"Female"
"06","California","2018","4.7","",,"Male"
"06","California","2018","3.4","",,"Female"
"06","California","2019","5.1","",,"Male"
"06","California","2019","3.4","",,"Female"
"06","California","2020","4.3","",,"Male"
