"StateFIPS","State","Year","Value","Data Comment",,"Sex"
"01","Alabama","2011","4.7","",,"Male"
"01","Alabama","2011","13.7","",,"Female"
"01","Alabama","2012","4.6","",,"Male"
"01","Alabama","2012","12.5","",,"Female"
"01","Alabama","2013","5.1","",,"Male"
"01","Alabama","2013","11.7","",,"Female"
"01","Alabama","2014","5.9","",,"Male"
"01","Alabama","2014","14.0","",,"Female"
"01","Alabama","2015","4.7","",,"Male"
"01","Alabama","2015","14.9","",,"Female"
"01","Alabama","2016","5.4","",,"Male"
"01","Alabama","2016","14.7","",,"Female"
"01","Alabama","2017","4.3","",,"Male"
"01","Alabama","2017","15.2","",,"Female"
"01","Alabama","2018","5.3","",,"Male"
"01","Alabama","2018","13.9","",,"Female"
"01","Alabama","2019","4.5","",,"Male"
"01","Alabama","2019","13.7","",,"Female"
"01","Alabama","2020","4.4","",,"Male"
"01","Alabama","2020","12.5","",,"Female"
"02","Alaska","2011","6.1","",,"Male"
"02","Alaska","2011","15.3","",,"Female"
"02","Alaska","2012","5.2","",,"Male"
"02","Alaska","2012","17.1","",,"Female"
"02","Alaska","2013","7.4","",,"Male"
"02","Alaska","2013","19.8","",,"Female"
"02","Alaska","2014","8.1","",,"Male"
"02","Alaska","2014","20.5","",,"Female"
"02","Alaska","2015","4.2","",,"Male"
"02","Alaska","2015","18.6","",,"Female"
"02","Alaska","2016","6.7","",,"Male"
"02","Alaska","2016","19.1","",,"Female"
"02","Alaska","2017","6.7","",,"Male"
"02","Alaska","2017","20.1","",,"Female"
"02","Alaska","2018","6.5","",,"Male"
"02","Alaska","2018","20.3","",,"Female"
"02","Alaska","2019","7.3","",,"Male"
"02","Alaska","2019","18.5","",,"Female"
"02","Alaska","2020","Suppressed","",,"Male"
"02","Alaska","2020","11.9","",,"Female"
"04","Arizona","2011","7.3","",,"Male"
"04","Arizona","2011","23.9","",,"Female"
"04","Arizona","2012","7.6","",,"Male"
"04","Arizona","2012","25.2","",,"Female"
"04","Arizona","2013","7.2","",,"Male"
"04","Arizona","2013","22.9","",,"Female"
"04","Arizona","2014","7.2","",,"Male"
"04","Arizona","2014","22.3","",,"Female"
"04","Arizona","2015","6.5","",,"Male"
"04","Arizona","2015","21.3","",,"Female"
"04","Arizona","2016","6.5","",,"Male"
"04","Arizona","2016","20.4","",,"Female"
"04","Arizona","2017","6.1","",,"Male"
"04","Arizona","2017","18.9","",,"Female"
"04","Arizona","2018","6.7","",,"Male"
"04","Arizona","2018","17.9","",,"Female"
"04","Arizona","2019","6.5","",,"Male"
"04","Arizona","2019","18.1","",,"Female"
"04","Arizona","2020","6.0","",,"Male"
"04","Arizona","2020","16.6","",,"Female"
"05","Arkansas","2011","4.4","",,"Male"
"05","Arkansas","2011","15.1","",,"Female"
"05","Arkansas","2012","4.3","",,"Male"
"05","Arkansas","2012","15.3","",,"Female"
"05","Arkansas","2013","4.9","",,"Male"
"05","Arkansas","2013","13.3","",,"Female"
"05","Arkansas","2014","5.5","",,"Male"
"05","Arkansas","2014","19.1","",,"Female"
"05","Arkansas","2015","7.7","",,"Male"
"05","Arkansas","2015","19.4","",,"Female"
"05","Arkansas","2016","5.4","",,"Male"
"05","Arkansas","2016","18.2","",,"Female"
"05","Arkansas","2017","5.7","",,"Male"
"05","Arkansas","2017","17.5","",,"Female"
"05","Arkansas","2018","6.3","",,"Male"
"05","Arkansas","2018","17.1","",,"Female"
"05","Arkansas","2019","6.1","",,"Male"
"05","Arkansas","2019","18.5","",,"Female"
"05","Arkansas","2020","4.8","",,"Male"
"05","Arkansas","2020","12.5","",,"Female"
"06","California","2011","6.1","",,"Male"
"06","California","2011","18.4","",,"Female"
"06","California","2012","6.2","",,"Male"
"06","California","2012","19.7","",,"Female"
"06","California","2013","6.3","",,"Male"
"06","California","2013","19.6","",,"Female"
"06","California","2014","6.6","",,"Male"
"06","California","2014","20.0","",,"Female"
"06","California","2015","7.2","",,"Male"
"06","California","2015","20.0","",,"Female"
"06","California","2016","6.7","",,"Male"
"06","California","2016","19.1","",,"Female"
"06","California","2017","6.6","",,"Male"
"06","California","2017","19.0","",,"Female"
"06","California","2018","6.7","",,"Male"
"06","California","2018","19.8","",,"Female"
"06","California","2019","7.1","",,"Male"
"06","California","2019","19.4","",,"Female"
"06","California","2020","6.2","",,"Male"
"06","California","2020","15.8","",,"Female"
"08","Colorado","2011","8.4","",,"Male"
