"StateFIPS","State","Year","Value","Data Comment",,"Race Ethnicity"
"01","Alabama","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2011","4.4","",,"Black (includes Hispanic)"
"01","Alabama","2011","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2011","6.9","",,"White (includes Hispanic)"
"01","Alabama","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2012","4.3","",,"Black (includes Hispanic)"
"01","Alabama","2012","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2012","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2012","8.4","",,"White (includes Hispanic)"
"01","Alabama","2013","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2013","4.4","",,"Black (includes Hispanic)"
"01","Alabama","2013","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2013","7.4","",,"White (includes Hispanic)"
"01","Alabama","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2014","4.4","",,"Black (includes Hispanic)"
"01","Alabama","2014","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2014","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2014","6.3","",,"White (includes Hispanic)"
"01","Alabama","2015","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2015","4.5","",,"Black (includes Hispanic)"
"01","Alabama","2015","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2015","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2015","7.0","",,"White (includes Hispanic)"
"01","Alabama","2016","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2016","4.4","",,"Black (includes Hispanic)"
"01","Alabama","2016","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2016","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2016","6.8","",,"White (includes Hispanic)"
"01","Alabama","2017","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2017","3.6","",,"Black (includes Hispanic)"
"01","Alabama","2017","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2017","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2017","6.7","",,"White (includes Hispanic)"
"01","Alabama","2018","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2018","4.6","",,"Black (includes Hispanic)"
"01","Alabama","2018","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2018","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2018","8.0","",,"White (includes Hispanic)"
"01","Alabama","2019","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2019","4.1","",,"Black (includes Hispanic)"
"01","Alabama","2019","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2019","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2019","7.0","",,"White (includes Hispanic)"
"01","Alabama","2020","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2020","4.9","",,"Black (includes Hispanic)"
"01","Alabama","2020","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2020","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2020","7.7","",,"White (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2011","6.7","",,"White (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2012","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2012","7.5","",,"White (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2013","5.6","",,"White (includes Hispanic)"
"02","Alaska","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2014","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2014","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2014","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2014","5.5","",,"White (includes Hispanic)"
"02","Alaska","2015","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2015","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2015","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2015","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2015","8.0","",,"White (includes Hispanic)"
"02","Alaska","2016","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2016","Suppressed","Unstable",,"Black (includes Hispanic)"
