"StateFIPS","State","Year","Value","Data Comment",,"Race Ethnicity"
"01","Alabama","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2011","9.5","",,"Black (includes Hispanic)"
"01","Alabama","2011","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2011","8.1","",,"White (includes Hispanic)"
"01","Alabama","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2012","9.2","",,"Black (includes Hispanic)"
"01","Alabama","2012","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2012","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2012","10.0","",,"White (includes Hispanic)"
"01","Alabama","2013","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2013","11.7","",,"Black (includes Hispanic)"
"01","Alabama","2013","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2013","7.5","",,"White (includes Hispanic)"
"01","Alabama","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2014","7.6","",,"Black (includes Hispanic)"
"01","Alabama","2014","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2014","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2014","10.3","",,"White (includes Hispanic)"
"01","Alabama","2015","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2015","11.4","",,"Black (includes Hispanic)"
"01","Alabama","2015","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2015","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2015","8.7","",,"White (includes Hispanic)"
"01","Alabama","2016","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2016","10.8","",,"Black (includes Hispanic)"
"01","Alabama","2016","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2016","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2016","9.6","",,"White (includes Hispanic)"
"01","Alabama","2017","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2017","10.2","",,"Black (includes Hispanic)"
"01","Alabama","2017","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2017","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2017","9.6","",,"White (includes Hispanic)"
"01","Alabama","2018","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2018","8.8","",,"Black (includes Hispanic)"
"01","Alabama","2018","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2018","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2018","8.1","",,"White (includes Hispanic)"
"01","Alabama","2019","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2019","10.4","",,"Black (includes Hispanic)"
"01","Alabama","2019","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2019","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2019","9.9","",,"White (includes Hispanic)"
"01","Alabama","2020","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2020","8.9","",,"Black (includes Hispanic)"
"01","Alabama","2020","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2020","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2020","9.3","",,"White (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2011","Suppressed","",,"White (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2012","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2012","8.1","",,"White (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2013","Suppressed","",,"White (includes Hispanic)"
"02","Alaska","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2014","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2014","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2014","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2014","6.9","",,"White (includes Hispanic)"
"02","Alaska","2015","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2015","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2015","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2015","Suppressed","",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2015","6.5","",,"White (includes Hispanic)"
"02","Alaska","2016","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2016","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2016","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2016","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2016","Suppressed","",,"White (includes Hispanic)"
"02","Alaska","2017","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2017","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2017","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2017","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2017","9.1","",,"White (includes Hispanic)"
"02","Alaska","2018","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2018","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2018","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2018","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2018","6.7","",,"White (includes Hispanic)"
"02","Alaska","2019","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2019","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2019","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2019","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2019","5.7","",,"White (includes Hispanic)"
