"StateFIPS","State","Year","Value","Data Comment",,"Race Ethnicity"
"01","Alabama","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2011","53.82","",,"Black (includes Hispanic)"
"01","Alabama","2011","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2011","39.19","",,"White (includes Hispanic)"
"01","Alabama","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2012","50.73","",,"Black (includes Hispanic)"
"01","Alabama","2012","26.18","",,"Hispanic (all races)"
"01","Alabama","2012","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2012","42.53","",,"White (includes Hispanic)"
"01","Alabama","2013","Suppressed","",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2013","54.52","",,"Black (includes Hispanic)"
"01","Alabama","2013","Suppressed","",,"Hispanic (all races)"
"01","Alabama","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2013","42.01","",,"White (includes Hispanic)"
"01","Alabama","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2014","53.77","",,"Black (includes Hispanic)"
"01","Alabama","2014","31.01","",,"Hispanic (all races)"
"01","Alabama","2014","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2014","41.94","",,"White (includes Hispanic)"
"01","Alabama","2015","33.79","",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2015","46.60","",,"Black (includes Hispanic)"
"01","Alabama","2015","28.35","",,"Hispanic (all races)"
"01","Alabama","2015","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2015","41.77","",,"White (includes Hispanic)"
"01","Alabama","2016","24.10","",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2016","48.34","",,"Black (includes Hispanic)"
"01","Alabama","2016","26.56","",,"Hispanic (all races)"
"01","Alabama","2016","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2016","42.15","",,"White (includes Hispanic)"
