"StateFIPS","State","Year","Value","Data Comment",,"Race Ethnicity"
"01","Alabama","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2011","9.7","",,"Black (includes Hispanic)"
"01","Alabama","2011","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2011","13.1","",,"White (includes Hispanic)"
"01","Alabama","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2012","10.7","",,"Black (includes Hispanic)"
"01","Alabama","2012","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2012","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2012","13.1","",,"White (includes Hispanic)"
"01","Alabama","2013","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2013","9.5","",,"Black (includes Hispanic)"
"01","Alabama","2013","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2013","12.9","",,"White (includes Hispanic)"
"01","Alabama","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2014","8.9","",,"Black (includes Hispanic)"
"01","Alabama","2014","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2014","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2014","13.2","",,"White (includes Hispanic)"
"01","Alabama","2015","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2015","8.0","",,"Black (includes Hispanic)"
"01","Alabama","2015","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2015","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2015","13.6","",,"White (includes Hispanic)"
"01","Alabama","2016","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2016","9.3","",,"Black (includes Hispanic)"
"01","Alabama","2016","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2016","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2016","13.5","",,"White (includes Hispanic)"
"01","Alabama","2017","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2017","10.3","",,"Black (includes Hispanic)"
"01","Alabama","2017","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2017","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2017","11.7","",,"White (includes Hispanic)"
"01","Alabama","2018","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2018","9.2","",,"Black (includes Hispanic)"
"01","Alabama","2018","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2018","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2018","13.3","",,"White (includes Hispanic)"
"01","Alabama","2019","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2019","10.2","",,"Black (includes Hispanic)"
"01","Alabama","2019","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2019","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2019","11.9","",,"White (includes Hispanic)"
"01","Alabama","2020","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2020","9.8","",,"Black (includes Hispanic)"
"01","Alabama","2020","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2020","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2020","10.3","",,"White (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2011","17.4","",,"White (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2012","15.1","",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2012","9.7","",,"White (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2013","Suppressed","",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2013","11.9","",,"White (includes Hispanic)"
"02","Alaska","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
