"StateFIPS","State","Year","Value","Data Comment",,"Race Ethnicity"
"01","Alabama","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2011","Suppressed","Unstable",,"Black (includes Hispanic)"
"01","Alabama","2011","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2011","4.70","",,"White (includes Hispanic)"
"01","Alabama","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2012","Suppressed","",,"Black (includes Hispanic)"
"01","Alabama","2012","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2012","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2012","4.94","",,"White (includes Hispanic)"
"01","Alabama","2013","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2013","Suppressed","Unstable",,"Black (includes Hispanic)"
"01","Alabama","2013","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2013","5.54","",,"White (includes Hispanic)"
"01","Alabama","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2014","Suppressed","",,"Black (includes Hispanic)"
"01","Alabama","2014","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2014","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2014","6.50","",,"White (includes Hispanic)"
"01","Alabama","2015","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2015","Suppressed","Unstable",,"Black (includes Hispanic)"
"01","Alabama","2015","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2015","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2015","4.85","",,"White (includes Hispanic)"
"01","Alabama","2016","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2016","Suppressed","Unstable",,"Black (includes Hispanic)"
"01","Alabama","2016","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2016","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2016","4.87","",,"White (includes Hispanic)"
"01","Alabama","2017","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2017","Suppressed","Unstable",,"Black (includes Hispanic)"
"01","Alabama","2017","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2017","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2017","5.20","",,"White (includes Hispanic)"
"01","Alabama","2018","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2018","Suppressed","Unstable",,"Black (includes Hispanic)"
"01","Alabama","2018","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2018","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2018","5.83","",,"White (includes Hispanic)"
"01","Alabama","2019","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2019","Suppressed","",,"Black (includes Hispanic)"
"01","Alabama","2019","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2019","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2019","5.16","",,"White (includes Hispanic)"
"01","Alabama","2020","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2020","Suppressed","Unstable",,"Black (includes Hispanic)"
"01","Alabama","2020","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2020","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2020","5.77","",,"White (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2011","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2011","5.93","",,"White (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2012","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2012","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2012","6.08","",,"White (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2013","Suppressed","Unstable",,"White (includes Hispanic)"
"02","Alaska","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2014","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2014","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2014","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2014","7.86","",,"White (includes Hispanic)"
"02","Alaska","2015","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2015","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2015","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2015","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2015","9.38","",,"White (includes Hispanic)"
"02","Alaska","2016","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2016","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2016","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2016","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2016","6.26","",,"White (includes Hispanic)"
"02","Alaska","2017","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2017","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2017","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2017","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2017","6.67","",,"White (includes Hispanic)"
"02","Alaska","2018","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2018","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2018","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2018","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2018","5.96","",,"White (includes Hispanic)"
"02","Alaska","2019","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2019","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2019","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2019","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2019","Suppressed","Unstable",,"White (includes Hispanic)"
"02","Alaska","2020","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"02","Alaska","2020","Suppressed","Unstable",,"Black (includes Hispanic)"
"02","Alaska","2020","Suppressed","Unstable",,"Hispanic (all races)"
"02","Alaska","2020","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"02","Alaska","2020","7.42","",,"White (includes Hispanic)"
"04","Arizona","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"04","Arizona","2011","Suppressed","Unstable",,"Black (includes Hispanic)"
"04","Arizona","2011","5.37","",,"Hispanic (all races)"
"04","Arizona","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"04","Arizona","2011","5.99","",,"White (includes Hispanic)"
"04","Arizona","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"04","Arizona","2012","Suppressed","Unstable",,"Black (includes Hispanic)"
"04","Arizona","2012","3.90","",,"Hispanic (all races)"
"04","Arizona","2012","8.13","",,"American Indian/Alaskan Native (includes Hispanic)"
"04","Arizona","2012","5.75","",,"White (includes Hispanic)"
"04","Arizona","2013","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"04","Arizona","2013","Suppressed","Unstable",,"Black (includes Hispanic)"
"04","Arizona","2013","4.48","",,"Hispanic (all races)"
"04","Arizona","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"04","Arizona","2013","4.99","",,"White (includes Hispanic)"
"04","Arizona","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"04","Arizona","2014","Suppressed","Unstable",,"Black (includes Hispanic)"
"04","Arizona","2014","5.01","",,"Hispanic (all races)"
"04","Arizona","2014","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"04","Arizona","2014","5.80","",,"White (includes Hispanic)"
"04","Arizona","2015","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"04","Arizona","2015","Suppressed","Unstable",,"Black (includes Hispanic)"
"04","Arizona","2015","5.36","",,"Hispanic (all races)"
"04","Arizona","2015","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"04","Arizona","2015","5.91","",,"White (includes Hispanic)"
"04","Arizona","2016","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"04","Arizona","2016","Suppressed","Unstable",,"Black (includes Hispanic)"
"04","Arizona","2016","5.20","",,"Hispanic (all races)"
"04","Arizona","2016","Suppressed","",,"American Indian/Alaskan Native (includes Hispanic)"
"04","Arizona","2016","6.00","",,"White (includes Hispanic)"
"04","Arizona","2017","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"04","Arizona","2017","Suppressed","Unstable",,"Black (includes Hispanic)"
"04","Arizona","2017","4.45","",,"Hispanic (all races)"
"04","Arizona","2017","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"04","Arizona","2017","5.99","",,"White (includes Hispanic)"
"04","Arizona","2018","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"04","Arizona","2018","Suppressed","Unstable",,"Black (includes Hispanic)"
"04","Arizona","2018","6.73","",,"Hispanic (all races)"
"04","Arizona","2018","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"04","Arizona","2018","6.19","",,"White (includes Hispanic)"
"04","Arizona","2019","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"04","Arizona","2019","Suppressed","Unstable",,"Black (includes Hispanic)"
"04","Arizona","2019","5.66","",,"Hispanic (all races)"
"04","Arizona","2019","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"04","Arizona","2019","6.96","",,"White (includes Hispanic)"
"04","Arizona","2020","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"04","Arizona","2020","Suppressed","Unstable",,"Black (includes Hispanic)"
"04","Arizona","2020","5.23","",,"Hispanic (all races)"
"04","Arizona","2020","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"04","Arizona","2020","6.60","",,"White (includes Hispanic)"
"05","Arkansas","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"05","Arkansas","2011","Suppressed","Unstable",,"Black (includes Hispanic)"
"05","Arkansas","2011","Suppressed","Unstable",,"Hispanic (all races)"
"05","Arkansas","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"05","Arkansas","2011","4.36","",,"White (includes Hispanic)"
"05","Arkansas","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"05","Arkansas","2012","Suppressed","Unstable",,"Black (includes Hispanic)"
"05","Arkansas","2012","Suppressed","Unstable",,"Hispanic (all races)"
"05","Arkansas","2012","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"05","Arkansas","2012","5.83","",,"White (includes Hispanic)"
"05","Arkansas","2013","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"05","Arkansas","2013","Suppressed","Unstable",,"Black (includes Hispanic)"
"05","Arkansas","2013","Suppressed","Unstable",,"Hispanic (all races)"
"05","Arkansas","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"05","Arkansas","2013","5.69","",,"White (includes Hispanic)"
"05","Arkansas","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"05","Arkansas","2014","Suppressed","Unstable",,"Black (includes Hispanic)"
"05","Arkansas","2014","Suppressed","Unstable",,"Hispanic (all races)"
"05","Arkansas","2014","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"05","Arkansas","2014","7.13","",,"White (includes Hispanic)"
"05","Arkansas","2015","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"05","Arkansas","2015","Suppressed","Unstable",,"Black (includes Hispanic)"
"05","Arkansas","2015","Suppressed","Unstable",,"Hispanic (all races)"
"05","Arkansas","2015","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"05","Arkansas","2015","4.91","",,"White (includes Hispanic)"
"05","Arkansas","2016","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"05","Arkansas","2016","Suppressed","Unstable",,"Black (includes Hispanic)"
"05","Arkansas","2016","Suppressed","Unstable",,"Hispanic (all races)"
"05","Arkansas","2016","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"05","Arkansas","2016","6.39","",,"White (includes Hispanic)"
"05","Arkansas","2017","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"05","Arkansas","2017","Suppressed","Unstable",,"Black (includes Hispanic)"
"05","Arkansas","2017","Suppressed","Unstable",,"Hispanic (all races)"
"05","Arkansas","2017","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"05","Arkansas","2017","5.62","",,"White (includes Hispanic)"
"05","Arkansas","2018","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"05","Arkansas","2018","Suppressed","Unstable",,"Black (includes Hispanic)"
"05","Arkansas","2018","Suppressed","Unstable",,"Hispanic (all races)"
"05","Arkansas","2018","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"05","Arkansas","2018","4.71","",,"White (includes Hispanic)"
"05","Arkansas","2019","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"05","Arkansas","2019","Suppressed","Unstable",,"Black (includes Hispanic)"
"05","Arkansas","2019","Suppressed","Unstable",,"Hispanic (all races)"
"05","Arkansas","2019","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"05","Arkansas","2019","6.25","",,"White (includes Hispanic)"
"05","Arkansas","2020","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"05","Arkansas","2020","Suppressed","Unstable",,"Black (includes Hispanic)"
"05","Arkansas","2020","Suppressed","Unstable",,"Hispanic (all races)"
"05","Arkansas","2020","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"05","Arkansas","2020","5.88","",,"White (includes Hispanic)"
"06","California","2011","1.92","",,"Asian/Pacific Islander (includes Hispanic)"
"06","California","2011","1.29","",,"Black (includes Hispanic)"
"06","California","2011","5.27","",,"Hispanic (all races)"
"06","California","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"06","California","2011","6.57","",,"White (includes Hispanic)"
"06","California","2012","1.99","",,"Asian/Pacific Islander (includes Hispanic)"
"06","California","2012","1.85","",,"Black (includes Hispanic)"
"06","California","2012","5.50","",,"Hispanic (all races)"
"06","California","2012","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"06","California","2012","6.69","",,"White (includes Hispanic)"
"06","California","2013","2.22","",,"Asian/Pacific Islander (includes Hispanic)"
"06","California","2013","1.63","",,"Black (includes Hispanic)"
"06","California","2013","5.28","",,"Hispanic (all races)"
"06","California","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"06","California","2013","7.05","",,"White (includes Hispanic)"
"06","California","2014","2.36","",,"Asian/Pacific Islander (includes Hispanic)"
"06","California","2014","1.52","",,"Black (includes Hispanic)"
"06","California","2014","5.93","",,"Hispanic (all races)"
"06","California","2014","4.89","",,"American Indian/Alaskan Native (includes Hispanic)"
"06","California","2014","7.27","",,"White (includes Hispanic)"
"06","California","2015","2.08","",,"Asian/Pacific Islander (includes Hispanic)"
