"StateFIPS","State","Year","Value","Data Comment",,"Race Ethnicity"
"01","Alabama","2011","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2011","7.5","",,"Black (includes Hispanic)"
"01","Alabama","2011","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2011","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2011","9.7","",,"White (includes Hispanic)"
"01","Alabama","2012","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2012","6.2","",,"Black (includes Hispanic)"
"01","Alabama","2012","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2012","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2012","9.4","",,"White (includes Hispanic)"
"01","Alabama","2013","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2013","5.3","",,"Black (includes Hispanic)"
"01","Alabama","2013","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2013","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2013","9.7","",,"White (includes Hispanic)"
"01","Alabama","2014","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2014","7.5","",,"Black (includes Hispanic)"
"01","Alabama","2014","13.5","",,"Hispanic (all races)"
"01","Alabama","2014","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2014","11.0","",,"White (includes Hispanic)"
"01","Alabama","2015","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2015","6.5","",,"Black (includes Hispanic)"
"01","Alabama","2015","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2015","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2015","11.1","",,"White (includes Hispanic)"
"01","Alabama","2016","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2016","7.0","",,"Black (includes Hispanic)"
"01","Alabama","2016","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2016","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2016","11.2","",,"White (includes Hispanic)"
"01","Alabama","2017","Suppressed","",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2017","6.0","",,"Black (includes Hispanic)"
"01","Alabama","2017","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2017","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2017","11.1","",,"White (includes Hispanic)"
"01","Alabama","2018","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2018","7.8","",,"Black (includes Hispanic)"
"01","Alabama","2018","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2018","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2018","10.4","",,"White (includes Hispanic)"
"01","Alabama","2019","Suppressed","Unstable",,"Asian/Pacific Islander (includes Hispanic)"
"01","Alabama","2019","6.4","",,"Black (includes Hispanic)"
"01","Alabama","2019","Suppressed","Unstable",,"Hispanic (all races)"
"01","Alabama","2019","Suppressed","Unstable",,"American Indian/Alaskan Native (includes Hispanic)"
"01","Alabama","2019","10.2","",,"White (includes Hispanic)"
